wavelength_in_um,n,k
2.399999999999999911e-01,1.913999999999999924e+00,5.961000000000000187e-06
3.400000000000000244e-01,1.824999999999999956e+00,5.249000000000000481e-07
4.000000000000000222e-01,1.806999999999999940e+00,4.806000000000000022e-07
5.999999999999999778e-01,1.778999999999999915e+00,5.490999999999999604e-07
1.000000000000000000e+00,1.749000000000000110e+00,6.446000000000000413e-07
2.799999999999999822e+00,1.721999999999999975e+00,1.047000000000000098e-06
3.399999999999999911e+00,1.705999999999999961e+00,9.469999999999999963e-07
4.000000000000000000e+00,1.685000000000000053e+00,5.125000000000000059e-06
4.599999999999999645e+00,1.659999999999999920e+00,2.676000000000000129e-05
5.000000000000000000e+00,1.653000000000000025e+00,6.271000000000000098e-05
5.400000000000000355e+00,1.606999999999999984e+00,3.044000000000000265e-04
5.599999999999999645e+00,1.586000000000000076e+00,3.686000000000000149e-04
