wavelength_in_um,n,k
2.110019999999999951e-01,1.785916000000000059e+00,1.309000000000000051e-03
2.125759999999999872e-01,1.781681000000000070e+00,1.116999999999999937e-03
2.141500000000000070e-01,1.777640000000000109e+00,9.550000000000000112e-04
2.157239999999999991e-01,1.773779999999999912e+00,8.180000000000000422e-04
2.172989999999999922e-01,1.770086999999999966e+00,7.029999999999999574e-04
2.188730000000000120e-01,1.766550000000000065e+00,6.049999999999999606e-04
2.204470000000000041e-01,1.763158999999999921e+00,5.220000000000000031e-04
2.220219999999999971e-01,1.759903999999999913e+00,4.510000000000000120e-04
2.235959999999999892e-01,1.756775999999999893e+00,3.910000000000000172e-04
2.251710000000000100e-01,1.753768999999999911e+00,3.400000000000000244e-04
2.267460000000000031e-01,1.750874000000000041e+00,2.950000000000000148e-04
2.283209999999999962e-01,1.748085000000000111e+00,2.570000000000000127e-04
2.298959999999999892e-01,1.745395000000000030e+00,2.249999999999999938e-04
2.314710000000000101e-01,1.742799999999999905e+00,1.969999999999999909e-04
2.330460000000000031e-01,1.740294000000000008e+00,1.720000000000000066e-04
2.346209999999999962e-01,1.737872000000000083e+00,1.510000000000000112e-04
2.361959999999999893e-01,1.735530000000000017e+00,1.330000000000000073e-04
2.377710000000000101e-01,1.733262999999999998e+00,1.169999999999999979e-04
2.393470000000000042e-01,1.731068999999999969e+00,1.029999999999999964e-04
2.409219999999999973e-01,1.728942999999999897e+00,9.100000000000000287e-05
2.424979999999999913e-01,1.726882000000000028e+00,8.100000000000000375e-05
2.440730000000000122e-01,1.724884000000000084e+00,7.200000000000000182e-05
2.456490000000000062e-01,1.722944000000000031e+00,6.399999999999999710e-05
2.472250000000000003e-01,1.721062000000000092e+00,5.700000000000000314e-05
2.487999999999999934e-01,1.719233000000000011e+00,5.000000000000000240e-05
2.503759999999999875e-01,1.717456000000000094e+00,4.500000000000000283e-05
2.519520000000000093e-01,1.715729000000000060e+00,4.000000000000000327e-05
2.535279999999999756e-01,1.714048000000000016e+00,3.600000000000000091e-05
2.551050000000000262e-01,1.712414000000000103e+00,3.199999999999999855e-05
2.566809999999999925e-01,1.710822999999999983e+00,2.900000000000000017e-05
2.582570000000000143e-01,1.709273999999999960e+00,2.599999999999999840e-05
2.598329999999999806e-01,1.707764999999999977e+00,2.300000000000000002e-05
2.614099999999999757e-01,1.706294999999999895e+00,2.099999999999999884e-05
2.629859999999999975e-01,1.704862000000000100e+00,1.900000000000000105e-05
2.645629999999999926e-01,1.703465000000000007e+00,1.699999999999999987e-05
2.661390000000000144e-01,1.702102999999999922e+00,1.599999999999999928e-05
2.677160000000000095e-01,1.700773000000000090e+00,1.399999999999999979e-05
2.692930000000000046e-01,1.699475999999999987e+00,1.299999999999999920e-05
2.708699999999999997e-01,1.698209999999999997e+00,1.200000000000000030e-05
2.724469999999999947e-01,1.696973000000000065e+00,1.000000000000000082e-05
2.740239999999999898e-01,1.695766000000000107e+00,1.000000000000000082e-05
2.756009999999999849e-01,1.694585999999999926e+00,9.000000000000000228e-06
2.771779999999999800e-01,1.693432999999999966e+00,7.999999999999999638e-06
2.787549999999999750e-01,1.692306000000000088e+00,6.999999999999999895e-06
2.803320000000000256e-01,1.691205000000000069e+00,6.999999999999999895e-06
2.819090000000000207e-01,1.690126999999999935e+00,6.000000000000000152e-06
