wavelength_in_um,n,k
1.380000000000000115e-01,1.637041481367299989e+00,0.000000000000000000e+00
1.598999999999999866e-01,1.553060079072799970e+00,0.000000000000000000e+00
1.817999999999999894e-01,1.514486672060699979e+00,0.000000000000000000e+00
2.036000000000000032e-01,1.492406926091500052e+00,0.000000000000000000e+00
2.255000000000000060e-01,1.478136397726999895e+00,0.000000000000000000e+00
2.474000000000000088e-01,1.468297778289499922e+00,0.000000000000000000e+00
2.692999999999999838e-01,1.461173315806099993e+00,0.000000000000000000e+00
2.912000000000000144e-01,1.455821770139700044e+00,0.000000000000000000e+00
3.130000000000000004e-01,1.451701963045999966e+00,0.000000000000000000e+00
3.348999999999999755e-01,1.448426463794999952e+00,0.000000000000000000e+00
3.568000000000000060e-01,1.445785475720400060e+00,0.000000000000000000e+00
3.786999999999999811e-01,1.443621223527300046e+00,0.000000000000000000e+00
4.006000000000000116e-01,1.441822681862199973e+00,0.000000000000000000e+00
4.223999999999999977e-01,1.440316050704800066e+00,0.000000000000000000e+00
4.442999999999999727e-01,1.439028545972099948e+00,0.000000000000000000e+00
4.662000000000000033e-01,1.437923138532499978e+00,0.000000000000000000e+00
4.880999999999999783e-01,1.436965772436799904e+00,0.000000000000000000e+00
5.100000000000000089e-01,1.436130023477599993e+00,0.000000000000000000e+00
5.318000000000000504e-01,1.435398272004499987e+00,0.000000000000000000e+00
5.536999999999999700e-01,1.434747337247300081e+00,0.000000000000000000e+00
5.756000000000000005e-01,1.434167497620600029e+00,0.000000000000000000e+00
5.975000000000000311e-01,1.433647963360799915e+00,0.000000000000000000e+00
6.193999999999999506e-01,1.433179900439399912e+00,0.000000000000000000e+00
6.411999999999999922e-01,1.432757862400700022e+00,0.000000000000000000e+00
6.631000000000000227e-01,1.432371935582799960e+00,0.000000000000000000e+00
6.850000000000000533e-01,1.432019072489800093e+00,0.000000000000000000e+00
7.068999999999999728e-01,1.431694994000600074e+00,0.000000000000000000e+00
7.288000000000000034e-01,1.431396073873300034e+00,0.000000000000000000e+00
7.506000000000000449e-01,1.431120440410899919e+00,0.000000000000000000e+00
7.724999999999999645e-01,1.430862927722100109e+00,0.000000000000000000e+00
7.943999999999999950e-01,1.430622569533900101e+00,0.000000000000000000e+00
