wavelength_in_um,n,k
3.014175399999999838e-01,2.615549999999999820e+00,3.866600000000000037e-01
3.030137299999999811e-01,2.610059999999999825e+00,3.862999999999999767e-01
3.046099999999999919e-01,2.604830000000000201e+00,3.859099999999999753e-01
3.062062400000000184e-01,2.599829999999999863e+00,3.854899999999999993e-01
3.078025500000000081e-01,2.595050000000000079e+00,3.850399999999999934e-01
3.093988599999999978e-01,2.590479999999999894e+00,3.845600000000000129e-01
3.109952400000000061e-01,2.586120000000000196e+00,3.840600000000000125e-01
3.125916000000000250e-01,2.581949999999999967e+00,3.835399999999999920e-01
3.141880499999999965e-01,2.577960000000000029e+00,3.829899999999999971e-01
3.157845000000000235e-01,2.574149999999999938e+00,3.824299999999999922e-01
3.173809499999999950e-01,2.570500000000000007e+00,3.818400000000000127e-01
3.189774799999999799e-01,2.567009999999999792e+00,3.812300000000000133e-01
3.205739699999999859e-01,2.563680000000000181e+00,3.806100000000000039e-01
3.221705300000000105e-01,2.560490000000000155e+00,3.799699999999999744e-01
3.237671200000000193e-01,2.557430000000000092e+00,3.793199999999999905e-01
3.253636999999999779e-01,2.554520000000000124e+00,3.786499999999999866e-01
3.269603600000000054e-01,2.551730000000000054e+00,3.779600000000000182e-01
3.285569999999999879e-01,2.549059999999999881e+00,3.772699999999999942e-01
3.301536999999999944e-01,2.546510000000000051e+00,3.765600000000000058e-01
3.317504000000000008e-01,2.544070000000000054e+00,3.758400000000000074e-01
3.333471000000000073e-01,2.541739999999999888e+00,3.751099999999999990e-01
3.349438800000000271e-01,2.539520000000000000e+00,3.743600000000000261e-01
3.365406499999999967e-01,2.537399999999999878e+00,3.736099999999999977e-01
3.381374500000000061e-01,2.535369999999999902e+00,3.728500000000000147e-01
3.397342799999999996e-01,2.533440000000000136e+00,3.720800000000000218e-01
3.413311199999999879e-01,2.531600000000000072e+00,3.713000000000000189e-01
3.429279800000000211e-01,2.529840000000000089e+00,3.705200000000000160e-01
3.445248699999999831e-01,2.528169999999999806e+00,3.697199999999999931e-01
3.461217699999999953e-01,2.526580000000000048e+00,3.689200000000000257e-01
3.477187199999999812e-01,2.525069999999999926e+00,3.681200000000000028e-01
3.493156700000000225e-01,2.523639999999999883e+00,3.673000000000000154e-01
3.509126599999999874e-01,2.522279999999999855e+00,3.664799999999999724e-01
3.525095999999999785e-01,2.520989999999999842e+00,3.656599999999999850e-01
3.541066299999999778e-01,2.519779999999999909e+00,3.648299999999999876e-01
3.557036700000000273e-01,2.518629999999999924e+00,3.639999999999999902e-01
3.573007200000000161e-01,2.517539999999999889e+00,3.631599999999999828e-01
3.588977700000000048e-01,2.516529999999999934e+00,3.623199999999999754e-01
3.604948399999999831e-01,2.515569999999999862e+00,3.614700000000000135e-01
3.620919799999999800e-01,2.514670000000000183e+00,3.606199999999999961e-01
3.636890600000000084e-01,2.513840000000000074e+00,3.597699999999999787e-01
3.652862000000000053e-01,2.513059999999999850e+00,3.589100000000000068e-01
3.668833599999999917e-01,2.512340000000000018e+00,3.580599999999999894e-01
3.684805299999999728e-01,2.511670000000000069e+00,3.571900000000000075e-01
3.700777000000000094e-01,2.511060000000000070e+00,3.563299999999999801e-01
3.716748999999999747e-01,2.510499999999999954e+00,3.554599999999999982e-01
3.732721299999999798e-01,2.509990000000000165e+00,3.545900000000000163e-01
3.748693200000000059e-01,2.509539999999999882e+00,3.537199999999999789e-01
3.764665799999999951e-01,2.509129999999999860e+00,3.528499999999999970e-01
3.780638399999999844e-01,2.508779999999999788e+00,3.519700000000000051e-01
3.796610999999999736e-01,2.508469999999999978e+00,3.511000000000000232e-01
3.812583600000000184e-01,2.508210000000000051e+00,3.502199999999999758e-01
3.828556799999999760e-01,2.508000000000000007e+00,3.493399999999999839e-01
3.844529700000000050e-01,2.507839999999999847e+00,3.484499999999999820e-01
3.860503000000000129e-01,2.507719999999999949e+00,3.475699999999999901e-01
3.876476400000000155e-01,2.507649999999999935e+00,3.466899999999999982e-01
3.892449599999999732e-01,2.507620000000000182e+00,3.457999999999999963e-01
3.908423500000000050e-01,2.507639999999999869e+00,3.449200000000000044e-01
3.924397000000000024e-01,2.507699999999999818e+00,3.440300000000000025e-01
3.940370499999999998e-01,2.507810000000000095e+00,3.431400000000000006e-01
3.956344600000000211e-01,2.507960000000000189e+00,3.422499999999999987e-01
3.972318400000000027e-01,2.508150000000000102e+00,3.413599999999999968e-01
3.988292199999999843e-01,2.508389999999999898e+00,3.404699999999999949e-01
4.004266400000000004e-01,2.508680000000000021e+00,3.395699999999999830e-01
4.020240500000000217e-01,2.508999999999999897e+00,3.386799999999999811e-01
4.036215000000000219e-01,2.509380000000000166e+00,3.377800000000000247e-01
4.052189299999999772e-01,2.509790000000000187e+00,3.368900000000000228e-01
4.068163499999999932e-01,2.510250000000000092e+00,3.359900000000000109e-01
4.084137999999999935e-01,2.510759999999999881e+00,3.350899999999999990e-01
4.100112300000000043e-01,2.511309999999999931e+00,3.341899999999999871e-01
4.116086999999999940e-01,2.511909999999999865e+00,3.332899999999999752e-01
4.132062000000000235e-01,2.512550000000000061e+00,3.323900000000000188e-01
4.148036500000000237e-01,2.513240000000000141e+00,3.314900000000000069e-01
4.164011200000000135e-01,2.513980000000000103e+00,3.305899999999999950e-01
4.179985999999999979e-01,2.514759999999999884e+00,3.296799999999999731e-01
4.195961000000000274e-01,2.515600000000000058e+00,3.287800000000000167e-01
4.211935399999999774e-01,2.516480000000000050e+00,3.278699999999999948e-01
4.227910799999999858e-01,2.517419999999999991e+00,3.269599999999999729e-01
4.243885800000000152e-01,2.518409999999999815e+00,3.260500000000000065e-01
4.259860200000000208e-01,2.519449999999999967e+00,3.251299999999999746e-01
4.275835599999999737e-01,2.520550000000000068e+00,3.242200000000000082e-01
4.291810600000000031e-01,2.521710000000000118e+00,3.232999999999999763e-01
4.307785599999999770e-01,2.522920000000000051e+00,3.223799999999999999e-01
4.323760700000000012e-01,2.524199999999999999e+00,3.214600000000000235e-01
4.339735699999999752e-01,2.525529999999999831e+00,3.205299999999999816e-01
4.355710400000000204e-01,2.526940000000000186e+00,3.195999999999999952e-01
4.371685499999999891e-01,2.528410000000000046e+00,3.186700000000000088e-01
4.387660500000000185e-01,2.529949999999999921e+00,3.177300000000000124e-01
4.403636000000000217e-01,2.531569999999999876e+00,3.167900000000000160e-01
4.419610999999999956e-01,2.533259999999999845e+00,3.158500000000000196e-01
4.435586000000000251e-01,2.535039999999999960e+00,3.149000000000000132e-01
4.451560999999999990e-01,2.536910000000000220e+00,3.139399999999999968e-01
4.467535699999999887e-01,2.538870000000000182e+00,3.129799999999999804e-01
4.483510700000000182e-01,2.540919999999999845e+00,3.120100000000000096e-01
4.499485799999999869e-01,2.543089999999999851e+00,3.110299999999999732e-01
