wavelength_in_um,n,k
3.014175399999999838e-01,2.472729699999999919e+00,1.893840799999999991e+00
3.030137299999999811e-01,2.507890699999999917e+00,1.891888299999999967e+00
3.046099999999999919e-01,2.543092999999999826e+00,1.888114599999999976e+00
3.062062400000000184e-01,2.578153100000000197e+00,1.882535700000000034e+00
3.078025500000000081e-01,2.612896699999999850e+00,1.875189699999999959e+00
3.093988599999999978e-01,2.647156499999999912e+00,1.866135600000000005e+00
3.109952400000000061e-01,2.680781000000000081e+00,1.855450199999999938e+00
3.125916000000000250e-01,2.713630000000000209e+00,1.843226400000000043e+00
3.141880499999999965e-01,2.745581000000000049e+00,1.829570300000000094e+00
3.157845000000000235e-01,2.776527399999999979e+00,1.814598600000000062e+00
3.173809499999999950e-01,2.806378599999999945e+00,1.798436799999999947e+00
3.189774799999999799e-01,2.835064200000000145e+00,1.781215299999999946e+00
3.205739699999999859e-01,2.862528000000000183e+00,1.763069199999999892e+00
3.221705300000000105e-01,2.888733999999999913e+00,1.744133500000000003e+00
3.237671200000000193e-01,2.913661199999999951e+00,1.724543600000000065e+00
3.253636999999999779e-01,2.937304000000000137e+00,1.704431699999999994e+00
3.269603600000000054e-01,2.959672999999999998e+00,1.683925899999999976e+00
3.285569999999999879e-01,2.980791299999999922e+00,1.663148400000000082e+00
3.301536999999999944e-01,3.000696399999999819e+00,1.642214800000000086e+00
3.317504000000000008e-01,3.019436100000000067e+00,1.621231899999999948e+00
3.333471000000000073e-01,3.037068800000000124e+00,1.600297999999999998e+00
3.349438800000000271e-01,3.053662999999999794e+00,1.579501199999999939e+00
3.365406499999999967e-01,3.069294499999999815e+00,1.558919100000000002e+00
3.381374500000000061e-01,3.084045600000000054e+00,1.538618000000000041e+00
3.397342799999999996e-01,3.098005300000000073e+00,1.518652899999999972e+00
3.413311199999999879e-01,3.111266399999999877e+00,1.499066199999999904e+00
3.429279800000000211e-01,3.123925400000000074e+00,1.479888400000000104e+00
3.445248699999999831e-01,3.136080999999999896e+00,1.461135599999999979e+00
3.461217699999999953e-01,3.147832600000000092e+00,1.442811700000000030e+00
3.477187199999999812e-01,3.159279300000000124e+00,1.424905400000000100e+00
3.493156700000000225e-01,3.170517699999999994e+00,1.407392100000000035e+00
3.509126599999999874e-01,3.181639999999999802e+00,1.390231800000000018e+00
3.525095999999999785e-01,3.192732599999999810e+00,1.373370299999999933e+00
3.541066299999999778e-01,3.203873199999999866e+00,1.356738000000000000e+00
3.557036700000000273e-01,3.215128200000000103e+00,1.340253099999999975e+00
3.573007200000000161e-01,3.226550599999999935e+00,1.323819999999999997e+00
3.588977700000000048e-01,3.238176600000000072e+00,1.307332799999999962e+00
3.604948399999999831e-01,3.250023399999999896e+00,1.290677300000000027e+00
3.620919799999999800e-01,3.262087800000000204e+00,1.273733699999999969e+00
3.636890600000000084e-01,3.274343299999999957e+00,1.256381399999999982e+00
3.652862000000000053e-01,3.286740500000000065e+00,1.238500799999999957e+00
3.668833599999999917e-01,3.299205999999999861e+00,1.219980999999999982e+00
3.684805299999999728e-01,3.311643999999999810e+00,1.200721300000000102e+00
3.700777000000000094e-01,3.323938099999999896e+00,1.180637799999999960e+00
3.716748999999999747e-01,3.335953500000000016e+00,1.159666899999999945e+00
3.732721299999999798e-01,3.347541999999999796e+00,1.137767999999999891e+00
3.748693200000000059e-01,3.358545299999999845e+00,1.114927900000000083e+00
3.764665799999999951e-01,3.368800900000000098e+00,1.091160799999999931e+00
3.780638399999999844e-01,3.378146599999999999e+00,1.066510099999999905e+00
3.796610999999999736e-01,3.386427400000000087e+00,1.041048200000000090e+00
3.812583600000000184e-01,3.393498399999999915e+00,1.014874199999999949e+00
3.828556799999999760e-01,3.399232599999999938e+00,9.881109000000000142e-01
3.844529700000000050e-01,3.403521800000000042e+00,9.609043600000000129e-01
3.860503000000000129e-01,3.406283100000000008e+00,9.334156500000000412e-01
3.876476400000000155e-01,3.407459300000000191e+00,9.058192000000000466e-01
3.892449599999999732e-01,3.407020800000000182e+00,8.782972000000000001e-01
3.908423500000000050e-01,3.404967300000000030e+00,8.510337000000000041e-01
3.924397000000000024e-01,3.401326200000000188e+00,8.242108000000000212e-01
3.940370499999999998e-01,3.396151800000000165e+00,7.980032599999999920e-01
3.956344600000000211e-01,3.389523000000000064e+00,7.725736500000000007e-01
3.972318400000000027e-01,3.381540999999999908e+00,7.480703600000000453e-01
3.988292199999999843e-01,3.372325200000000134e+00,7.246229600000000381e-01
4.004266400000000004e-01,3.362010199999999838e+00,7.023401000000000227e-01
4.020240500000000217e-01,3.350741900000000051e+00,6.813091599999999692e-01
4.036215000000000219e-01,3.338671999999999862e+00,6.615937400000000412e-01
4.052189299999999772e-01,3.325956600000000041e+00,6.432351499999999778e-01
4.068163499999999932e-01,3.312750600000000212e+00,6.262520599999999993e-01
4.084137999999999935e-01,3.299204299999999979e+00,6.106420000000000181e-01
4.100112300000000043e-01,3.285461699999999929e+00,5.963832000000000022e-01
4.116086999999999940e-01,3.271655800000000003e+00,5.834365500000000537e-01
4.132062000000000235e-01,3.257909000000000166e+00,5.717482000000000397e-01
4.148036500000000237e-01,3.244331100000000134e+00,5.612531299999999890e-01
4.164011200000000135e-01,3.231016200000000005e+00,5.518757699999999877e-01
4.179985999999999979e-01,3.218044799999999928e+00,5.435343000000000258e-01
4.195961000000000274e-01,3.205482500000000012e+00,5.361424000000000190e-01
4.211935399999999774e-01,3.193382000000000165e+00,5.296125400000000205e-01
4.227910799999999858e-01,3.181781500000000040e+00,5.238564599999999682e-01
4.243885800000000152e-01,3.170707499999999790e+00,5.187886000000000442e-01
4.259860200000000208e-01,3.160176299999999827e+00,5.143264499999999906e-01
4.275835599999999737e-01,3.150192999999999799e+00,5.103919000000000095e-01
4.291810600000000031e-01,3.140756000000000103e+00,5.069124999999999881e-01
4.307785599999999770e-01,3.131855999999999973e+00,5.038215499999999514e-01
4.323760700000000012e-01,3.123479000000000116e+00,5.010584999999999622e-01
4.339735699999999752e-01,3.115605599999999864e+00,4.985691999999999902e-01
4.355710400000000204e-01,3.108214600000000161e+00,4.963056000000000134e-01
4.371685499999999891e-01,3.101281600000000083e+00,4.942255300000000240e-01
4.387660500000000185e-01,3.094780999999999782e+00,4.922925200000000112e-01
4.403636000000000217e-01,3.088687199999999855e+00,4.904752000000000001e-01
4.419610999999999956e-01,3.082974000000000103e+00,4.887469700000000028e-01
4.435586000000000251e-01,3.077615999999999907e+00,4.870853700000000175e-01
4.451560999999999990e-01,3.072588200000000214e+00,4.854718000000000089e-01
4.467535699999999887e-01,3.067867800000000145e+00,4.838909200000000022e-01
4.483510700000000182e-01,3.063431299999999968e+00,4.823300799999999944e-01
4.499485799999999869e-01,3.059258199999999928e+00,4.807793200000000100e-01
4.515460499999999766e-01,3.055328799999999845e+00,4.792306000000000066e-01
4.531435500000000061e-01,3.051624499999999962e+00,4.776776400000000145e-01
4.547410299999999905e-01,3.048128999999999866e+00,4.761156699999999908e-01
4.563385300000000200e-01,3.044826299999999986e+00,4.745409800000000011e-01
4.579359700000000255e-01,3.041702299999999859e+00,4.729510000000000103e-01
4.595334500000000100e-01,3.038743699999999937e+00,4.713438200000000244e-01
4.611309199999999997e-01,3.035938999999999943e+00,4.697182500000000038e-01
4.627283600000000052e-01,3.033276600000000212e+00,4.680735200000000207e-01
4.643258399999999897e-01,3.030746999999999858e+00,4.664093000000000266e-01
4.659232799999999952e-01,3.028340599999999938e+00,4.647255200000000031e-01
4.675207000000000113e-01,3.026049399999999778e+00,4.630225000000000035e-01
4.691180999999999823e-01,3.023865699999999990e+00,4.613004600000000233e-01
4.707155800000000223e-01,3.021782200000000085e+00,4.595599200000000106e-01
4.723129999999999828e-01,3.019792600000000160e+00,4.578014999999999723e-01
4.739104000000000094e-01,3.017891000000000101e+00,4.560257999999999812e-01
4.755077500000000068e-01,3.016071800000000191e+00,4.542335599999999807e-01
4.771051599999999726e-01,3.014330100000000012e+00,4.524253300000000144e-01
4.787025500000000044e-01,3.012661200000000150e+00,4.506019399999999786e-01
4.802999000000000018e-01,3.011060699999999812e+00,4.487640600000000202e-01
4.818972799999999834e-01,3.009524600000000216e+00,4.469123199999999740e-01
4.834946299999999808e-01,3.008049000000000195e+00,4.450474400000000164e-01
4.850919499999999940e-01,3.006630700000000100e+00,4.431701000000000112e-01
4.866892999999999914e-01,3.005266199999999888e+00,4.412808699999999917e-01
4.882866200000000045e-01,3.003952500000000025e+00,4.393804700000000230e-01
4.898838799999999938e-01,3.002686999999999884e+00,4.374694499999999819e-01
4.914812000000000070e-01,3.001466499999999815e+00,4.355483700000000180e-01
4.930784599999999962e-01,3.000288999999999984e+00,4.336177999999999977e-01
4.946757199999999854e-01,2.999151700000000087e+00,4.316783200000000043e-01
4.962730000000000197e-01,2.998052400000000173e+00,4.297304000000000124e-01
4.978701999999999850e-01,2.996989300000000078e+00,4.277746000000000048e-01
4.994674399999999848e-01,2.995959800000000062e+00,4.258114000000000066e-01
5.010646399999999501e-01,2.994962500000000194e+00,4.238412400000000080e-01
5.026618699999999551e-01,2.993995200000000079e+00,4.218646300000000182e-01
5.042590300000000525e-01,2.993056499999999787e+00,4.198820300000000172e-01
5.058561999999999781e-01,2.992144600000000043e+00,4.178938999999999848e-01
5.074532999999999960e-01,2.991258000000000195e+00,4.159006800000000226e-01
5.090504799999999719e-01,2.990394799999999798e+00,4.139027299999999965e-01
5.106475999999999793e-01,2.989554000000000045e+00,4.119005499999999764e-01
