wavelength_in_um,n,k
2.979870000000000088e-02,9.029890000000000416e-01,1.745200000000000085e-01
3.006100000000000091e-02,9.066189999999999527e-01,1.775919999999999999e-01
3.032549999999999829e-02,9.106349999999999723e-01,1.800070000000000003e-01
3.059239999999999876e-02,9.149450000000000083e-01,1.817120000000000124e-01
3.086169999999999886e-02,9.194620000000000015e-01,1.826609999999999900e-01
3.113329999999999917e-02,9.241099999999999870e-01,1.828140000000000043e-01
3.140729999999999911e-02,9.288110000000000532e-01,1.821309999999999873e-01
3.168370000000000214e-02,9.334900000000000420e-01,1.805690000000000073e-01
3.196260000000000073e-02,9.380709999999999882e-01,1.780829999999999913e-01
3.224389999999999895e-02,9.424770000000000092e-01,1.746169999999999944e-01
3.252769999999999967e-02,9.466240000000000210e-01,1.701090000000000102e-01
3.281400000000000289e-02,9.504209999999999603e-01,1.644750000000000101e-01
3.310280000000000167e-02,9.537670000000000314e-01,1.576059999999999961e-01
3.339410000000000295e-02,9.565390000000000281e-01,1.493510000000000115e-01
3.368809999999999860e-02,9.585749999999999549e-01,1.394880000000000009e-01
3.398459999999999676e-02,9.596369999999999623e-01,1.276609999999999967e-01
3.428370000000000029e-02,9.592969999999999553e-01,1.132470000000000004e-01
3.458540000000000225e-02,9.564540000000000264e-01,9.492399999999999449e-02
3.488979999999999859e-02,9.470399999999999929e-01,6.979000000000000481e-02
3.519690000000000318e-02,9.290270000000000472e-01,4.797099999999999975e-02
3.550670000000000215e-02,9.061620000000000230e-01,3.380099999999999771e-02
3.581920000000000243e-02,8.809660000000000268e-01,2.361600000000000157e-02
3.613439999999999708e-02,8.537289999999999601e-01,1.776000000000000148e-02
3.645240000000000286e-02,8.252749999999999808e-01,1.677299999999999972e-02
3.677330000000000182e-02,7.965759999999999508e-01,2.042800000000000171e-02
3.709690000000000210e-02,7.683640000000000470e-01,2.823799999999999921e-02
3.742340000000000250e-02,7.411290000000000378e-01,3.968399999999999705e-02
3.775280000000000302e-02,7.151809999999999556e-01,5.428600000000000092e-02
3.808509999999999673e-02,6.907090000000000174e-01,7.163100000000000023e-02
3.842029999999999751e-02,6.678140000000000187e-01,9.137499999999999789e-02
3.875839999999999841e-02,6.465459999999999541e-01,1.132459999999999994e-01
3.909950000000000231e-02,6.269169999999999465e-01,1.370349999999999902e-01
3.944369999999999821e-02,6.089240000000000208e-01,1.625900000000000123e-01
3.979080000000000117e-02,5.925589999999999469e-01,1.898189999999999877e-01
4.014100000000000307e-02,5.778140000000000498e-01,2.186819999999999875e-01
4.049429999999999696e-02,5.646989999999999510e-01,2.491929999999999978e-01
