wavelength_in_um,n,k
4.000000000000000222e-01,3.022240000000000038e+00,2.840149999999999952e+00
4.020000000000000240e-01,3.028910000000000213e+00,2.836279999999999912e+00
4.040000000000000258e-01,3.035569999999999879e+00,2.832409999999999872e+00
4.060000000000000275e-01,3.042240000000000055e+00,2.828549999999999898e+00
4.079999999999999738e-01,3.048900000000000166e+00,2.824679999999999858e+00
4.099999999999999756e-01,3.055559999999999832e+00,2.820809999999999818e+00
4.119999999999999774e-01,3.062230000000000008e+00,2.816949999999999843e+00
4.139999999999999791e-01,3.068890000000000118e+00,2.813079999999999803e+00
4.159999999999999809e-01,3.075549999999999784e+00,2.809210000000000207e+00
4.179999999999999827e-01,3.082219999999999960e+00,2.805340000000000167e+00
4.199999999999999845e-01,3.088880000000000070e+00,2.801470000000000127e+00
4.219999999999999862e-01,3.095549999999999802e+00,2.797600000000000087e+00
4.239999999999999880e-01,3.102209999999999912e+00,2.793719999999999981e+00
4.259999999999999898e-01,3.108880000000000088e+00,2.789839999999999876e+00
4.279999999999999916e-01,3.115540000000000198e+00,2.785960000000000214e+00
4.299999999999999933e-01,3.122209999999999930e+00,2.782080000000000108e+00
4.319999999999999951e-01,3.128880000000000106e+00,2.778200000000000003e+00
4.339999999999999969e-01,3.135540000000000216e+00,2.774309999999999832e+00
4.359999999999999987e-01,3.142209999999999948e+00,2.770420000000000105e+00
4.380000000000000004e-01,3.148870000000000058e+00,2.766519999999999868e+00
4.400000000000000022e-01,3.155539999999999790e+00,2.762620000000000076e+00
4.420000000000000040e-01,3.162209999999999965e+00,2.758710000000000218e+00
4.440000000000000058e-01,3.168870000000000076e+00,2.754799999999999915e+00
4.460000000000000075e-01,3.175539999999999807e+00,2.750890000000000057e+00
4.480000000000000093e-01,3.182209999999999983e+00,2.746960000000000068e+00
4.500000000000000111e-01,3.188880000000000159e+00,2.743040000000000145e+00
4.520000000000000129e-01,3.195539999999999825e+00,2.739100000000000090e+00
4.540000000000000147e-01,3.202210000000000001e+00,2.735160000000000036e+00
4.560000000000000164e-01,3.208880000000000177e+00,2.731209999999999916e+00
4.580000000000000182e-01,3.215549999999999908e+00,2.727259999999999796e+00
4.600000000000000200e-01,3.222220000000000084e+00,2.723300000000000054e+00
4.620000000000000218e-01,3.228880000000000194e+00,2.719329999999999803e+00
4.640000000000000235e-01,3.235549999999999926e+00,2.715359999999999996e+00
4.660000000000000253e-01,3.242220000000000102e+00,2.711370000000000058e+00
4.680000000000000271e-01,3.248889999999999834e+00,2.707380000000000120e+00
4.699999999999999734e-01,3.255560000000000009e+00,2.703390000000000182e+00
4.719999999999999751e-01,3.262230000000000185e+00,2.699380000000000113e+00
4.739999999999999769e-01,3.268899999999999917e+00,2.695370000000000044e+00
4.759999999999999787e-01,3.275580000000000158e+00,2.691359999999999975e+00
4.779999999999999805e-01,3.282249999999999890e+00,2.687330000000000219e+00
4.799999999999999822e-01,3.288920000000000066e+00,2.683300000000000018e+00
4.819999999999999840e-01,3.295599999999999863e+00,2.679269999999999818e+00
4.839999999999999858e-01,3.302270000000000039e+00,2.675229999999999997e+00
4.859999999999999876e-01,3.308949999999999836e+00,2.671190000000000175e+00
4.879999999999999893e-01,3.315620000000000012e+00,2.667139999999999844e+00
4.899999999999999911e-01,3.322299999999999809e+00,2.663100000000000023e+00
4.919999999999999929e-01,3.328980000000000050e+00,2.659050000000000136e+00
4.939999999999999947e-01,3.335659999999999847e+00,2.654999999999999805e+00
4.959999999999999964e-01,3.342340000000000089e+00,2.650959999999999983e+00
4.979999999999999982e-01,3.349019999999999886e+00,2.646910000000000096e+00
5.000000000000000000e-01,3.355700000000000127e+00,2.642869999999999830e+00
5.020000000000000018e-01,3.362379999999999924e+00,2.638830000000000009e+00
5.040000000000000036e-01,3.369069999999999787e+00,2.634799999999999809e+00
5.060000000000000053e-01,3.375750000000000028e+00,2.630770000000000053e+00
5.080000000000000071e-01,3.382439999999999891e+00,2.626749999999999918e+00
5.100000000000000089e-01,3.389130000000000198e+00,2.622729999999999784e+00
5.120000000000000107e-01,3.395830000000000126e+00,2.618720000000000159e+00
5.140000000000000124e-01,3.402519999999999989e+00,2.614710000000000090e+00
5.160000000000000142e-01,3.409219999999999917e+00,2.610700000000000021e+00
5.180000000000000160e-01,3.415929999999999911e+00,2.606700000000000017e+00
5.200000000000000178e-01,3.422639999999999905e+00,2.602700000000000014e+00
5.220000000000000195e-01,3.429349999999999898e+00,2.598700000000000010e+00
5.240000000000000213e-01,3.436069999999999958e+00,2.594700000000000006e+00
5.260000000000000231e-01,3.442790000000000017e+00,2.590700000000000003e+00
5.280000000000000249e-01,3.449520000000000142e+00,2.586689999999999934e+00
5.300000000000000266e-01,3.456259999999999888e+00,2.582679999999999865e+00
5.320000000000000284e-01,3.463000000000000078e+00,2.578660000000000174e+00
5.340000000000000302e-01,3.469759999999999955e+00,2.574629999999999974e+00
5.360000000000000320e-01,3.476519999999999833e+00,2.570590000000000153e+00
5.380000000000000338e-01,3.483290000000000219e+00,2.566539999999999822e+00
5.400000000000000355e-01,3.490069999999999784e+00,2.562479999999999869e+00
5.420000000000000373e-01,3.496869999999999923e+00,2.558390000000000164e+00
5.440000000000000391e-01,3.503680000000000128e+00,2.554300000000000015e+00
5.460000000000000409e-01,3.510499999999999954e+00,2.550180000000000113e+00
5.480000000000000426e-01,3.517329999999999846e+00,2.546050000000000146e+00
5.500000000000000444e-01,3.524179999999999868e+00,2.541889999999999983e+00
5.520000000000000462e-01,3.531039999999999957e+00,2.537720000000000198e+00
5.540000000000000480e-01,3.537929999999999797e+00,2.533520000000000216e+00
5.560000000000000497e-01,3.544820000000000082e+00,2.529300000000000104e+00
5.580000000000000515e-01,3.551740000000000119e+00,2.525049999999999795e+00
5.600000000000000533e-01,3.558670000000000222e+00,2.520779999999999799e+00
5.620000000000000551e-01,3.565620000000000012e+00,2.516469999999999985e+00
5.639999999999999458e-01,3.572589999999999932e+00,2.512150000000000105e+00
5.659999999999999476e-01,3.579590000000000050e+00,2.507779999999999898e+00
5.679999999999999494e-01,3.586599999999999788e+00,2.503400000000000070e+00
5.699999999999999512e-01,3.593640000000000168e+00,2.498979999999999979e+00
5.719999999999999529e-01,3.600699999999999790e+00,2.494530000000000136e+00
5.739999999999999547e-01,3.607779999999999987e+00,2.490060000000000162e+00
5.759999999999999565e-01,3.614900000000000002e+00,2.485539999999999861e+00
5.779999999999999583e-01,3.622030000000000083e+00,2.480999999999999872e+00
5.799999999999999600e-01,3.629189999999999916e+00,2.476420000000000066e+00
5.819999999999999618e-01,3.636369999999999880e+00,2.471820000000000128e+00
5.839999999999999636e-01,3.643600000000000172e+00,2.467159999999999798e+00
5.859999999999999654e-01,3.650830000000000020e+00,2.462489999999999846e+00
5.879999999999999671e-01,3.658119999999999816e+00,2.457759999999999945e+00
5.899999999999999689e-01,3.665420000000000122e+00,2.453019999999999978e+00
5.919999999999999707e-01,3.672769999999999868e+00,2.448220000000000063e+00
5.939999999999999725e-01,3.680130000000000123e+00,2.443400000000000016e+00
5.959999999999999742e-01,3.687539999999999818e+00,2.438530000000000086e+00
5.979999999999999760e-01,3.694970000000000088e+00,2.433629999999999960e+00
5.999999999999999778e-01,3.702440000000000175e+00,2.428679999999999950e+00
6.019999999999999796e-01,3.709950000000000081e+00,2.423700000000000188e+00
6.039999999999999813e-01,3.717480000000000118e+00,2.418680000000000163e+00
6.059999999999999831e-01,3.725070000000000103e+00,2.413609999999999811e+00
6.079999999999999849e-01,3.732670000000000154e+00,2.408520000000000216e+00
6.099999999999999867e-01,3.740340000000000220e+00,2.403360000000000163e+00
