wavelength_in_um,n,k
3.846200000000000174e-01,2.068599999999999994e+00,1.001300000000000052e-06
3.873900000000000121e-01,2.067099999999999937e+00,1.023800000000000049e-06
3.901800000000000268e-01,2.065500000000000114e+00,1.046900000000000090e-06
3.929900000000000060e-01,2.064000000000000057e+00,1.070499999999999957e-06
3.958200000000000052e-01,2.062500000000000000e+00,1.094600000000000074e-06
3.986700000000000244e-01,2.060999999999999943e+00,1.119200000000000016e-06
4.015400000000000080e-01,2.059499999999999886e+00,1.144400000000000004e-06
4.044300000000000117e-01,2.058100000000000041e+00,1.170200000000000036e-06
4.073499999999999899e-01,2.056599999999999984e+00,1.196499999999999895e-06
4.102799999999999780e-01,2.055200000000000138e+00,1.223400000000000010e-06
4.132399999999999962e-01,2.053799999999999848e+00,1.250799999999999951e-06
4.162100000000000244e-01,2.052400000000000002e+00,1.278899999999999944e-06
4.192100000000000271e-01,2.051099999999999923e+00,1.307599999999999983e-06
4.222299999999999942e-01,2.049700000000000077e+00,1.337000000000000074e-06
4.252699999999999814e-01,2.048399999999999999e+00,1.366999999999999998e-06
4.283299999999999885e-01,2.047099999999999920e+00,1.397599999999999968e-06
4.314200000000000257e-01,2.045799999999999841e+00,1.428899999999999990e-06
4.345300000000000273e-01,2.044599999999999973e+00,1.461000000000000073e-06
4.376599999999999935e-01,2.043299999999999894e+00,1.493699999999999988e-06
4.408099999999999796e-01,2.042100000000000026e+00,1.527099999999999956e-06
4.439799999999999858e-01,2.040900000000000158e+00,1.561299999999999985e-06
4.471800000000000219e-01,2.039699999999999847e+00,1.596200000000000066e-06
4.504000000000000226e-01,2.038499999999999979e+00,1.631899999999999995e-06
4.536499999999999977e-01,2.037300000000000111e+00,1.668399999999999984e-06
4.569199999999999928e-01,2.036200000000000010e+00,1.705700000000000034e-06
4.602100000000000080e-01,2.035000000000000142e+00,1.743799999999999931e-06
4.635199999999999876e-01,2.033900000000000041e+00,1.782799999999999897e-06
4.668599999999999972e-01,2.032799999999999940e+00,1.822599999999999922e-06
4.702200000000000268e-01,2.031699999999999839e+00,1.863300000000000016e-06
4.736099999999999755e-01,2.030600000000000183e+00,1.904799999999999957e-06
4.770199999999999996e-01,2.029599999999999849e+00,1.947299999999999974e-06
4.804599999999999982e-01,2.028500000000000192e+00,1.990800000000000065e-06
4.839200000000000168e-01,2.027499999999999858e+00,2.035099999999999794e-06
4.873999999999999999e-01,2.026499999999999968e+00,2.080499999999999816e-06
4.909200000000000230e-01,2.025500000000000078e+00,2.126899999999999914e-06
4.944500000000000006e-01,2.024500000000000188e+00,2.174199999999999868e-06
4.980100000000000082e-01,2.023499999999999854e+00,2.222699999999999912e-06
5.016000000000000458e-01,2.022499999999999964e+00,2.272099999999999812e-06
5.052100000000000479e-01,2.021599999999999842e+00,2.322699999999999801e-06
5.088500000000000245e-01,2.020599999999999952e+00,2.374400000000000086e-06
5.125199999999999756e-01,2.019699999999999829e+00,2.427199999999999817e-06
5.162099999999999467e-01,2.018800000000000150e+00,2.481200000000000063e-06
5.199300000000000033e-01,2.017900000000000027e+00,2.536300000000000179e-06
5.236699999999999688e-01,2.016999999999999904e+00,2.592700000000000181e-06
5.274499999999999744e-01,2.016099999999999781e+00,2.650299999999999850e-06
5.312400000000000455e-01,2.015299999999999869e+00,2.709199999999999828e-06
5.350700000000000456e-01,2.014400000000000190e+00,2.769299999999999896e-06
5.389300000000000201e-01,2.013599999999999834e+00,2.830800000000000070e-06
5.428100000000000147e-01,2.012700000000000156e+00,2.893699999999999925e-06
5.467199999999999838e-01,2.011899999999999800e+00,2.957900000000000089e-06
5.506600000000000383e-01,2.011099999999999888e+00,3.023499999999999936e-06
5.546200000000000019e-01,2.010299999999999976e+00,3.090600000000000106e-06
5.586200000000000054e-01,2.009500000000000064e+00,3.159099999999999959e-06
5.626400000000000290e-01,2.008700000000000152e+00,3.229199999999999931e-06
5.666900000000000270e-01,2.008000000000000007e+00,3.300700000000000009e-06
5.707799999999999541e-01,2.007200000000000095e+00,3.373900000000000003e-06
5.748900000000000121e-01,2.006499999999999950e+00,3.448599999999999898e-06
5.790300000000000447e-01,2.005700000000000038e+00,3.525000000000000132e-06
5.832000000000000517e-01,2.004999999999999893e+00,3.603099999999999858e-06
5.874000000000000332e-01,2.004300000000000193e+00,3.682899999999999924e-06
5.916299999999999892e-01,2.003600000000000048e+00,3.764399999999999906e-06
5.958900000000000308e-01,2.002899999999999903e+00,3.847699999999999600e-06
6.001800000000000468e-01,2.002200000000000202e+00,3.932900000000000072e-06
6.045099999999999918e-01,2.001500000000000057e+00,4.019900000000000255e-06
