wavelength_in_um,n,k
2.992739999999999984e-02,8.362230000000000496e-01,1.513390000000000013e-01
3.010269999999999960e-02,8.344329999999999803e-01,1.534810000000000063e-01
3.027900000000000036e-02,8.325759999999999827e-01,1.556609999999999938e-01
3.045640000000000153e-02,8.306559999999999500e-01,1.578749999999999876e-01
3.063480000000000023e-02,8.286719999999999642e-01,1.601219999999999866e-01
3.081429999999999933e-02,8.266179999999999639e-01,1.624039999999999928e-01
3.099479999999999943e-02,8.244899999999999451e-01,1.647210000000000063e-01
3.117639999999999995e-02,8.222840000000000149e-01,1.670810000000000073e-01
3.135899999999999799e-02,8.199959999999999471e-01,1.694829999999999948e-01
3.154269999999999990e-02,8.176229999999999887e-01,1.719209999999999905e-01
3.172749999999999876e-02,8.151450000000000085e-01,1.743719999999999992e-01
3.191329999999999861e-02,8.125259999999999705e-01,1.768260000000000109e-01
3.210029999999999828e-02,8.097250000000000281e-01,1.793009999999999882e-01
3.228829999999999895e-02,8.066839999999999566e-01,1.817819999999999991e-01
3.247749999999999942e-02,8.032789999999999653e-01,1.842590000000000061e-01
3.266770000000000090e-02,7.992120000000000335e-01,1.867659999999999876e-01
3.285910000000000220e-02,7.947769999999999557e-01,1.907609999999999861e-01
3.305160000000000042e-02,7.908370000000000122e-01,1.959299999999999931e-01
3.324520000000000253e-02,7.874090000000000256e-01,2.008500000000000008e-01
3.343990000000000157e-02,7.841420000000000057e-01,2.059010000000000007e-01
3.363580000000000042e-02,7.810249999999999693e-01,2.111099999999999921e-01
3.383289999999999909e-02,7.780559999999999699e-01,2.164590000000000125e-01
3.403110000000000163e-02,7.752210000000000489e-01,2.219190000000000051e-01
3.423040000000000110e-02,7.724999999999999645e-01,2.274839999999999918e-01
3.443090000000000039e-02,7.698760000000000048e-01,2.331489999999999951e-01
3.463259999999999950e-02,7.673550000000000093e-01,2.389499999999999957e-01
3.483549999999999841e-02,7.649399999999999533e-01,2.448329999999999951e-01
3.503959999999999714e-02,7.626119999999999566e-01,2.507860000000000089e-01
3.524479999999999974e-02,7.603509999999999991e-01,2.567999999999999727e-01
3.545129999999999809e-02,7.581390000000000073e-01,2.628699999999999926e-01
3.565900000000000319e-02,7.559299999999999908e-01,2.689559999999999729e-01
3.586790000000000117e-02,7.536699999999999511e-01,2.751089999999999924e-01
3.607799999999999896e-02,7.513319999999999999e-01,2.813939999999999775e-01
3.628929999999999656e-02,7.489099999999999646e-01,2.878729999999999900e-01
3.650189999999999685e-02,7.464480000000000004e-01,2.946630000000000082e-01
3.671569999999999695e-02,7.440069999999999739e-01,3.017389999999999795e-01
3.693079999999999974e-02,7.416080000000000449e-01,3.090769999999999906e-01
3.714710000000000234e-02,7.392539999999999667e-01,3.166829999999999923e-01
3.736479999999999663e-02,7.369459999999999900e-01,3.245750000000000024e-01
3.758360000000000173e-02,7.347390000000000310e-01,3.328499999999999792e-01
3.780379999999999852e-02,7.326770000000000227e-01,3.414030000000000120e-01
3.802529999999999799e-02,7.307519999999999571e-01,3.502339999999999898e-01
3.824799999999999728e-02,7.289579999999999949e-01,3.593430000000000235e-01
3.847210000000000213e-02,7.273129999999999873e-01,3.687940000000000107e-01
3.869739999999999985e-02,7.258670000000000400e-01,3.785910000000000108e-01
3.892410000000000314e-02,7.246399999999999508e-01,3.886709999999999887e-01
3.915210000000000218e-02,7.236230000000000162e-01,3.990349999999999731e-01
3.938149999999999984e-02,7.228010000000000268e-01,4.096850000000000214e-01
3.961220000000000019e-02,7.222180000000000266e-01,4.207429999999999781e-01
3.984420000000000323e-02,7.219259999999999566e-01,4.321130000000000249e-01
4.007759999999999795e-02,7.219210000000000349e-01,4.437829999999999830e-01
4.031239999999999823e-02,7.221959999999999491e-01,4.557570000000000232e-01
4.054859999999999715e-02,7.227540000000000076e-01,4.680799999999999961e-01
4.078609999999999874e-02,7.236550000000000482e-01,4.808359999999999856e-01
4.102499999999999897e-02,7.249440000000000328e-01,4.939259999999999762e-01
4.126529999999999782e-02,7.266150000000000109e-01,5.073590000000000044e-01
4.150709999999999816e-02,7.286629999999999496e-01,5.211459999999999981e-01
4.175020000000000120e-02,7.311309999999999754e-01,5.354139999999999455e-01
4.199479999999999880e-02,7.341020000000000323e-01,5.501409999999999911e-01
4.224080000000000196e-02,7.376129999999999631e-01,5.652829999999999799e-01
4.248819999999999680e-02,7.416749999999999732e-01,5.808600000000000430e-01
4.273710000000000009e-02,7.462940000000000129e-01,5.968970000000000109e-01
4.298749999999999793e-02,7.515870000000000051e-01,6.136509999999999465e-01
4.323930000000000134e-02,7.576939999999999786e-01,6.309529999999999861e-01
4.349259999999999932e-02,7.646589999999999776e-01,6.488420000000000298e-01
4.374739999999999879e-02,7.725440000000000085e-01,6.673590000000000355e-01
4.400359999999999688e-02,7.814710000000000267e-01,6.866950000000000554e-01
4.426139999999999936e-02,7.917130000000000001e-01,7.070370000000000266e-01
4.452070000000000333e-02,8.035569999999999657e-01,7.283089999999999842e-01
4.478150000000000186e-02,8.173019999999999730e-01,7.506429999999999492e-01
4.504380000000000189e-02,8.333850000000000424e-01,7.742010000000000280e-01
4.530769999999999936e-02,8.530969999999999942e-01,7.999650000000000372e-01
4.557309999999999833e-02,8.776990000000000069e-01,8.256940000000000390e-01
4.584010000000000168e-02,9.073170000000000401e-01,8.496240000000000459e-01
4.610859999999999959e-02,9.417440000000000255e-01,8.705370000000000053e-01
4.637870000000000187e-02,9.807749999999999524e-01,8.871719999999999606e-01
