wavelength_in_um,n,k
1.000000000000000056e-01,1.740619957245099991e+00,0.000000000000000000e+00
1.048000000000000043e-01,1.683413998332800032e+00,0.000000000000000000e+00
1.098999999999999977e-01,1.638294296568999941e+00,0.000000000000000000e+00
1.150999999999999940e-01,1.603221773592599986e+00,0.000000000000000000e+00
1.207000000000000017e-01,1.573853809824800054e+00,0.000000000000000000e+00
1.265000000000000013e-01,1.549878603008900013e+00,0.000000000000000000e+00
1.325999999999999956e-01,1.529724886423200036e+00,0.000000000000000000e+00
1.390000000000000124e-01,1.512652181820300035e+00,0.000000000000000000e+00
1.456999999999999962e-01,1.498091060208500025e+00,0.000000000000000000e+00
1.527000000000000024e-01,1.485597095565599934e+00,0.000000000000000000e+00
1.600000000000000033e-01,1.474818917175600097e+00,0.000000000000000000e+00
1.676999999999999880e-01,1.465363356546599993e+00,0.000000000000000000e+00
1.758000000000000118e-01,1.457057889457900046e+00,0.000000000000000000e+00
1.842000000000000026e-01,1.449831056245199923e+00,0.000000000000000000e+00
1.930999999999999939e-01,1.443382411425800038e+00,0.000000000000000000e+00
2.023999999999999966e-01,1.437692387638900060e+00,0.000000000000000000e+00
2.121000000000000107e-01,1.432662934347399997e+00,0.000000000000000000e+00
2.222999999999999976e-01,1.428168676658500003e+00,0.000000000000000000e+00
2.331000000000000016e-01,1.424119665607199936e+00,0.000000000000000000e+00
2.442999999999999894e-01,1.420539002676000084e+00,0.000000000000000000e+00
2.560000000000000053e-01,1.417339536832000091e+00,0.000000000000000000e+00
2.682999999999999829e-01,1.414457408780299907e+00,0.000000000000000000e+00
2.812999999999999945e-01,1.411845230775800042e+00,0.000000000000000000e+00
2.948000000000000065e-01,1.409515278615899980e+00,0.000000000000000000e+00
3.089999999999999969e-01,1.407406238289500067e+00,0.000000000000000000e+00
3.239000000000000212e-01,1.405499788971700026e+00,0.000000000000000000e+00
3.393999999999999795e-01,1.403788147018399934e+00,0.000000000000000000e+00
3.558000000000000052e-01,1.402223190461499902e+00,0.000000000000000000e+00
3.729000000000000092e-01,1.400811625074799949e+00,0.000000000000000000e+00
3.907999999999999807e-01,1.399530958291500093e+00,0.000000000000000000e+00
4.097000000000000086e-01,1.398357681144900111e+00,0.000000000000000000e+00
4.294000000000000039e-01,1.397294947701900103e+00,0.000000000000000000e+00
4.500000000000000111e-01,1.396326964557299988e+00,0.000000000000000000e+00
4.717000000000000082e-01,1.395437172947199933e+00,0.000000000000000000e+00
4.944000000000000061e-01,1.394623282061600023e+00,0.000000000000000000e+00
5.181999999999999940e-01,1.393875145145299976e+00,0.000000000000000000e+00
5.431000000000000272e-01,1.393186874533000053e+00,0.000000000000000000e+00
5.693000000000000282e-01,1.392548043688000003e+00,0.000000000000000000e+00
5.967000000000000082e-01,1.391956562077099946e+00,0.000000000000000000e+00
6.253999999999999559e-01,1.391405626156700048e+00,0.000000000000000000e+00
6.554999999999999716e-01,1.390889328010000092e+00,0.000000000000000000e+00
6.870000000000000551e-01,1.390403900936900028e+00,0.000000000000000000e+00
7.200999999999999623e-01,1.389942888510699914e+00,0.000000000000000000e+00
7.547000000000000375e-01,1.389504437615699972e+00,0.000000000000000000e+00
7.911000000000000254e-01,1.389081729323599967e+00,0.000000000000000000e+00
8.290999999999999481e-01,1.388674144371099928e+00,0.000000000000000000e+00
8.689999999999999947e-01,1.388275540626600080e+00,0.000000000000000000e+00
9.109000000000000430e-01,1.387882325630900082e+00,0.000000000000000000e+00
9.546999999999999931e-01,1.387492720240000033e+00,0.000000000000000000e+00
1.000999999999999890e+00,1.387098864533699905e+00,0.000000000000000000e+00
1.048999999999999932e+00,1.386704835547899917e+00,0.000000000000000000e+00
1.098999999999999977e+00,1.386305185727999989e+00,0.000000000000000000e+00
1.151999999999999913e+00,1.385889285826400030e+00,0.000000000000000000e+00
1.207999999999999963e+00,1.385454486867099932e+00,0.000000000000000000e+00
1.266000000000000014e+00,1.385005591460400032e+00,0.000000000000000000e+00
1.326999999999999957e+00,1.384531778948099978e+00,0.000000000000000000e+00
1.391000000000000014e+00,1.384029810806600036e+00,0.000000000000000000e+00
1.457000000000000073e+00,1.383504304479300062e+00,0.000000000000000000e+00
1.528000000000000025e+00,1.382927581188400090e+00,0.000000000000000000e+00
1.600999999999999979e+00,1.382320037863199902e+00,0.000000000000000000e+00
1.677999999999999936e+00,1.381661120199499937e+00,0.000000000000000000e+00
1.758999999999999897e+00,1.380946020551099940e+00,0.000000000000000000e+00
1.844000000000000083e+00,1.380169625566499914e+00,0.000000000000000000e+00
1.931999999999999940e+00,1.379336180673299994e+00,0.000000000000000000e+00
2.024999999999999911e+00,1.378421086398099904e+00,0.000000000000000000e+00
2.123000000000000220e+00,1.377417219563100037e+00,0.000000000000000000e+00
2.225000000000000089e+00,1.376327893224200016e+00,0.000000000000000000e+00
2.331999999999999851e+00,1.375135107719700045e+00,0.000000000000000000e+00
2.443999999999999950e+00,1.373830425294600088e+00,0.000000000000000000e+00
2.561999999999999833e+00,1.372392463676300078e+00,0.000000000000000000e+00
2.685000000000000053e+00,1.370823097265400081e+00,0.000000000000000000e+00
2.814000000000000057e+00,1.369098619985299914e+00,0.000000000000000000e+00
2.950000000000000178e+00,1.367192133020499911e+00,0.000000000000000000e+00
3.092000000000000082e+00,1.365103241274099988e+00,0.000000000000000000e+00
3.241000000000000103e+00,1.362801850294099948e+00,0.000000000000000000e+00
3.396999999999999797e+00,1.360270418030399942e+00,0.000000000000000000e+00
3.560000000000000053e+00,1.357490202327900075e+00,0.000000000000000000e+00
3.730999999999999872e+00,1.354422790501099927e+00,0.000000000000000000e+00
3.911000000000000032e+00,1.351024539263999902e+00,0.000000000000000000e+00
4.099000000000000199e+00,1.347286647027799988e+00,0.000000000000000000e+00
4.296000000000000263e+00,1.343159339573400057e+00,0.000000000000000000e+00
4.503000000000000114e+00,1.338585977371399949e+00,0.000000000000000000e+00
4.719999999999999751e+00,1.333525994600400111e+00,0.000000000000000000e+00
4.947000000000000064e+00,1.327935185266599927e+00,0.000000000000000000e+00
5.184999999999999609e+00,1.321738529599499889e+00,0.000000000000000000e+00
5.434999999999999609e+00,1.314850211263900004e+00,0.000000000000000000e+00
5.695999999999999730e+00,1.307231907053099995e+00,0.000000000000000000e+00
5.971000000000000085e+00,1.298717705956899948e+00,0.000000000000000000e+00
6.258000000000000007e+00,1.289279579509700069e+00,0.000000000000000000e+00
6.559000000000000163e+00,1.278750785778099974e+00,0.000000000000000000e+00
6.875000000000000000e+00,1.266972440462299954e+00,0.000000000000000000e+00
7.206000000000000405e+00,1.253799970239700023e+00,0.000000000000000000e+00
7.551999999999999602e+00,1.239067769134100105e+00,0.000000000000000000e+00
7.916000000000000369e+00,1.222442849145400023e+00,0.000000000000000000e+00
8.297000000000000597e+00,1.203721177515699958e+00,0.000000000000000000e+00
8.695999999999999730e+00,1.182558083904299950e+00,0.000000000000000000e+00
9.115000000000000213e+00,1.158473857337499968e+00,0.000000000000000000e+00
9.553000000000000824e+00,1.131064299716600052e+00,0.000000000000000000e+00
1.000999999999999979e+01,1.099766455324900027e+00,0.000000000000000000e+00
1.049000000000000021e+01,1.063553192671899961e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.020777825986600051e+00,0.000000000000000000e+00
