wavelength_in_um,n,k
2.999189999999999842e-02,9.252219999999999889e-01,1.212649999999999978e-01
3.012360000000000038e-02,9.241479999999999695e-01,1.219029999999999975e-01
3.025579999999999936e-02,9.227389999999999759e-01,1.225389999999999951e-01
3.038870000000000113e-02,9.213080000000000158e-01,1.241880000000000067e-01
3.052209999999999993e-02,9.202059999999999684e-01,1.259170000000000011e-01
3.065599999999999922e-02,9.193010000000000348e-01,1.276359999999999995e-01
3.079060000000000130e-02,9.185229999999999784e-01,1.293459999999999888e-01
3.092579999999999982e-02,9.178410000000000180e-01,1.310449999999999948e-01
3.106160000000000171e-02,9.172360000000000513e-01,1.327339999999999909e-01
3.119790000000000063e-02,9.166959999999999553e-01,1.344130000000000047e-01
3.133489999999999887e-02,9.162109999999999976e-01,1.360810000000000075e-01
3.147239999999999760e-02,9.157750000000000057e-01,1.377379999999999993e-01
3.161060000000000259e-02,9.153829999999999467e-01,1.393830000000000069e-01
3.174939999999999707e-02,9.150310000000000388e-01,1.410180000000000045e-01
3.188869999999999899e-02,9.147140000000000271e-01,1.426409999999999900e-01
3.202870000000000023e-02,9.144299999999999651e-01,1.442519999999999913e-01
3.216929999999999790e-02,9.141759999999999886e-01,1.458520000000000094e-01
3.231049999999999894e-02,9.139500000000000401e-01,1.474389999999999867e-01
3.245239999999999930e-02,9.137490000000000334e-01,1.490150000000000086e-01
3.259480000000000016e-02,9.135720000000000507e-01,1.505779999999999896e-01
3.273790000000000033e-02,9.134170000000000345e-01,1.521280000000000132e-01
3.288169999999999982e-02,9.132820000000000382e-01,1.536659999999999970e-01
3.302599999999999980e-02,9.131660000000000332e-01,1.551919999999999966e-01
3.317099999999999910e-02,9.130679999999999907e-01,1.567050000000000110e-01
3.331660000000000177e-02,9.129859999999999642e-01,1.582050000000000123e-01
3.346289999999999681e-02,9.129190000000000360e-01,1.596909999999999996e-01
3.360980000000000217e-02,9.128659999999999553e-01,1.611650000000000027e-01
3.375729999999999703e-02,9.128260000000000263e-01,1.626259999999999928e-01
