wavelength_in_um,n,k
3.599999999999999867e-01,1.773526659889200108e+00,0.000000000000000000e+00
4.103999999999999870e-01,1.759835350028100098e+00,0.000000000000000000e+00
4.607999999999999874e-01,1.750706372270099953e+00,0.000000000000000000e+00
5.111999999999999877e-01,1.744266806091300026e+00,0.000000000000000000e+00
5.615999999999999881e-01,1.739520464321600013e+00,0.000000000000000000e+00
6.119999999999999885e-01,1.735894431662599935e+00,0.000000000000000000e+00
6.623999999999999888e-01,1.733038880662399972e+00,0.000000000000000000e+00
7.127999999999999892e-01,1.730729795330500087e+00,0.000000000000000000e+00
7.631999999999999895e-01,1.728818047527399981e+00,0.000000000000000000e+00
8.135999999999999899e-01,1.727201099696400011e+00,0.000000000000000000e+00
8.639999999999999902e-01,1.725806490441200047e+00,0.000000000000000000e+00
9.143999999999999906e-01,1.724581792343699904e+00,0.000000000000000000e+00
9.647999999999999909e-01,1.723488287992299917e+00,0.000000000000000000e+00
1.014999999999999902e+00,1.722500629005099926e+00,0.000000000000000000e+00
1.066000000000000059e+00,1.721578318638099958e+00,0.000000000000000000e+00
1.116000000000000103e+00,1.720736303752000040e+00,0.000000000000000000e+00
1.165999999999999925e+00,1.719942581855699926e+00,0.000000000000000000e+00
1.217000000000000082e+00,1.719171858753899995e+00,0.000000000000000000e+00
1.266999999999999904e+00,1.718445792902600022e+00,0.000000000000000000e+00
1.318000000000000060e+00,1.717728215993999941e+00,0.000000000000000000e+00
1.368000000000000105e+00,1.717041595417400091e+00,0.000000000000000000e+00
1.417999999999999927e+00,1.716367059732099909e+00,0.000000000000000000e+00
1.469000000000000083e+00,1.715687517418700070e+00,0.000000000000000000e+00
1.518999999999999906e+00,1.715026361024500012e+00,0.000000000000000000e+00
1.570000000000000062e+00,1.714354327621099960e+00,0.000000000000000000e+00
1.620000000000000107e+00,1.713695445474499923e+00,0.000000000000000000e+00
1.669999999999999929e+00,1.713034571500700043e+00,0.000000000000000000e+00
1.721000000000000085e+00,1.712356689874799942e+00,0.000000000000000000e+00
1.770999999999999908e+00,1.711686912556799944e+00,0.000000000000000000e+00
1.822000000000000064e+00,1.710997137463700080e+00,0.000000000000000000e+00
1.872000000000000108e+00,1.710313301024900090e+00,0.000000000000000000e+00
1.921999999999999931e+00,1.709620986230699913e+00,0.000000000000000000e+00
1.973000000000000087e+00,1.708905213011000068e+00,0.000000000000000000e+00
2.023000000000000131e+00,1.708193288654000108e+00,0.000000000000000000e+00
2.073999999999999844e+00,1.707456040006100073e+00,0.000000000000000000e+00
2.124000000000000110e+00,1.706721772806899962e+00,0.000000000000000000e+00
2.173999999999999932e+00,1.705975605799900041e+00,0.000000000000000000e+00
2.225000000000000089e+00,1.705201755352300008e+00,0.000000000000000000e+00
2.274999999999999911e+00,1.704430123261299945e+00,0.000000000000000000e+00
2.326000000000000068e+00,1.703629428002700008e+00,0.000000000000000000e+00
2.375999999999999890e+00,1.702830698627999961e+00,0.000000000000000000e+00
2.426000000000000156e+00,1.702018033809399977e+00,0.000000000000000000e+00
2.476999999999999869e+00,1.701174438613199946e+00,0.000000000000000000e+00
2.527000000000000135e+00,1.700332703546300062e+00,0.000000000000000000e+00
2.577999999999999847e+00,1.699458880362900048e+00,0.000000000000000000e+00
2.628000000000000114e+00,1.698586982651099975e+00,0.000000000000000000e+00
2.677999999999999936e+00,1.697699790921499918e+00,0.000000000000000000e+00
2.729000000000000092e+00,1.696778869849999927e+00,0.000000000000000000e+00
2.778999999999999915e+00,1.695860120702100016e+00,0.000000000000000000e+00
2.830000000000000071e+00,1.694906585230200102e+00,0.000000000000000000e+00
2.879999999999999893e+00,1.693955463285099938e+00,0.000000000000000000e+00
2.930000000000000160e+00,1.692988035448899975e+00,0.000000000000000000e+00
2.980999999999999872e+00,1.691984278491299953e+00,0.000000000000000000e+00
3.031000000000000139e+00,1.690983382898400000e+00,0.000000000000000000e+00
3.081999999999999851e+00,1.689945141221500080e+00,0.000000000000000000e+00
3.132000000000000117e+00,1.688910106351299900e+00,0.000000000000000000e+00
3.181999999999999940e+00,1.687857933560100054e+00,0.000000000000000000e+00
3.233000000000000096e+00,1.686766903807999984e+00,0.000000000000000000e+00
3.282999999999999918e+00,1.685679650648800099e+00,0.000000000000000000e+00
3.334000000000000075e+00,1.684552530593899977e+00,0.000000000000000000e+00
3.383999999999999897e+00,1.683429597221199892e+00,0.000000000000000000e+00
3.434000000000000163e+00,1.682288783516699970e+00,0.000000000000000000e+00
3.484999999999999876e+00,1.681106586380400003e+00,0.000000000000000000e+00
3.535000000000000142e+00,1.679929223682600004e+00,0.000000000000000000e+00
3.585999999999999854e+00,1.678709455209300039e+00,0.000000000000000000e+00
3.636000000000000121e+00,1.677494973754100061e+00,0.000000000000000000e+00
3.685999999999999943e+00,1.676261907289799957e+00,0.000000000000000000e+00
3.737000000000000099e+00,1.674984889769699947e+00,0.000000000000000000e+00
3.786999999999999922e+00,1.673713859694899941e+00,0.000000000000000000e+00
3.838000000000000078e+00,1.672397831323600093e+00,0.000000000000000000e+00
3.887999999999999901e+00,1.671088272521600082e+00,0.000000000000000000e+00
3.938000000000000167e+00,1.669759430092699892e+00,0.000000000000000000e+00
3.988999999999999879e+00,1.668383999818799923e+00,0.000000000000000000e+00
4.038999999999999702e+00,1.667015777248699981e+00,0.000000000000000000e+00
4.089999999999999858e+00,1.665599885883499942e+00,0.000000000000000000e+00
4.139999999999999680e+00,1.664191706154499961e+00,0.000000000000000000e+00
4.190000000000000391e+00,1.662763529662300011e+00,0.000000000000000000e+00
4.240999999999999659e+00,1.661286039067100040e+00,0.000000000000000000e+00
4.291000000000000369e+00,1.659817026943400053e+00,0.000000000000000000e+00
4.341999999999999638e+00,1.658297579209399908e+00,0.000000000000000000e+00
4.392000000000000348e+00,1.656787131009799907e+00,0.000000000000000000e+00
4.442000000000000171e+00,1.655255944077800079e+00,0.000000000000000000e+00
4.493000000000000327e+00,1.653672611114100022e+00,0.000000000000000000e+00
4.543000000000000149e+00,1.652099067767899943e+00,0.000000000000000000e+00
4.594000000000000306e+00,1.650472210496199965e+00,0.000000000000000000e+00
4.644000000000000128e+00,1.648855678208200004e+00,0.000000000000000000e+00
4.693999999999999950e+00,1.647217625648399908e+00,0.000000000000000000e+00
4.745000000000000107e+00,1.645524475336900050e+00,0.000000000000000000e+00
4.794999999999999929e+00,1.643842460063400068e+00,0.000000000000000000e+00
4.846000000000000085e+00,1.642104127395900059e+00,0.000000000000000000e+00
4.895999999999999908e+00,1.640377477754900060e+00,0.000000000000000000e+00
4.945999999999999730e+00,1.638628478005899947e+00,0.000000000000000000e+00
4.996999999999999886e+00,1.636821295756299977e+00,0.000000000000000000e+00
5.046999999999999709e+00,1.635026624640800064e+00,0.000000000000000000e+00
5.097999999999999865e+00,1.633172494396599950e+00,0.000000000000000000e+00
5.147999999999999687e+00,1.631331434934899960e+00,0.000000000000000000e+00
5.198000000000000398e+00,1.629467139555599964e+00,0.000000000000000000e+00
5.248999999999999666e+00,1.627541430784100074e+00,0.000000000000000000e+00
5.299000000000000377e+00,1.625629637890499968e+00,0.000000000000000000e+00
5.349999999999999645e+00,1.623655092646000053e+00,0.000000000000000000e+00
5.400000000000000355e+00,1.621695034074899899e+00,0.000000000000000000e+00
