wavelength_in_um,n,k
1.499999999999999944e-01,1.500960634892499979e+00,0.000000000000000000e+00
1.572999999999999954e-01,1.466121697224499920e+00,0.000000000000000000e+00
1.648999999999999910e-01,1.440792565474499964e+00,0.000000000000000000e+00
1.728999999999999981e-01,1.421426382912400088e+00,0.000000000000000000e+00
1.812000000000000000e-01,1.406389592583799919e+00,0.000000000000000000e+00
1.900000000000000022e-01,1.394186594849700089e+00,0.000000000000000000e+00
1.991999999999999882e-01,1.384254968631499993e+00,0.000000000000000000e+00
2.089000000000000024e-01,1.375984109504400088e+00,0.000000000000000000e+00
2.190000000000000002e-01,1.369097459318300070e+00,0.000000000000000000e+00
2.295999999999999985e-01,1.363254684004499895e+00,0.000000000000000000e+00
2.406999999999999973e-01,1.358265831339600105e+00,0.000000000000000000e+00
2.524000000000000132e-01,1.353948120434099955e+00,0.000000000000000000e+00
2.646000000000000019e-01,1.350227812411699979e+00,0.000000000000000000e+00
2.773999999999999799e-01,1.346983135142699961e+00,0.000000000000000000e+00
2.908999999999999919e-01,1.344126391260999975e+00,0.000000000000000000e+00
3.049999999999999933e-01,1.341625460036500073e+00,0.000000000000000000e+00
3.196999999999999842e-01,1.339429952624199949e+00,0.000000000000000000e+00
3.351999999999999980e-01,1.337474127914400013e+00,0.000000000000000000e+00
3.514999999999999791e-01,1.335732500915199905e+00,0.000000000000000000e+00
3.684999999999999942e-01,1.334189901415500090e+00,0.000000000000000000e+00
3.862999999999999767e-01,1.332814052415600026e+00,0.000000000000000000e+00
4.050000000000000266e-01,1.331580090932299898e+00,0.000000000000000000e+00
4.247000000000000219e-01,1.330468529791200005e+00,0.000000000000000000e+00
4.451999999999999846e-01,1.329477242353700017e+00,0.000000000000000000e+00
4.667999999999999927e-01,1.328580199387999983e+00,0.000000000000000000e+00
4.894000000000000017e-01,1.327772756135600085e+00,0.000000000000000000e+00
5.131000000000000005e-01,1.327042819840499988e+00,0.000000000000000000e+00
5.380000000000000338e-01,1.326380541609299968e+00,0.000000000000000000e+00
5.639999999999999458e-01,1.325782049906000015e+00,0.000000000000000000e+00
5.914000000000000368e-01,1.325235061229099953e+00,0.000000000000000000e+00
6.199999999999999956e-01,1.324738792932099951e+00,0.000000000000000000e+00
6.500000000000000222e-01,1.324285049750000054e+00,0.000000000000000000e+00
6.814999999999999947e-01,1.323868669675799969e+00,0.000000000000000000e+00
7.145000000000000240e-01,1.323486268383899933e+00,0.000000000000000000e+00
7.491999999999999771e-01,1.323132572097500015e+00,0.000000000000000000e+00
7.853999999999999870e-01,1.322806673093199992e+00,0.000000000000000000e+00
8.235000000000000098e-01,1.322502343667300018e+00,0.000000000000000000e+00
8.633999999999999453e-01,1.322218192567000017e+00,0.000000000000000000e+00
9.052000000000000046e-01,1.321951259713999960e+00,0.000000000000000000e+00
9.491000000000000547e-01,1.321698310229699969e+00,0.000000000000000000e+00
9.949999999999999956e-01,1.321458020222300078e+00,0.000000000000000000e+00
1.042999999999999927e+00,1.321227947236500055e+00,0.000000000000000000e+00
1.094000000000000083e+00,1.321002420102699970e+00,0.000000000000000000e+00
1.147000000000000020e+00,1.320784364334800065e+00,0.000000000000000000e+00
1.201999999999999957e+00,1.320571814255599996e+00,0.000000000000000000e+00
1.260999999999999899e+00,1.320355763771700053e+00,0.000000000000000000e+00
1.322000000000000064e+00,1.320142181349899912e+00,0.000000000000000000e+00
1.385999999999999899e+00,1.319925884106800007e+00,0.000000000000000000e+00
1.453000000000000069e+00,1.319705371292400065e+00,0.000000000000000000e+00
1.522999999999999909e+00,1.319479093564899896e+00,0.000000000000000000e+00
1.596999999999999975e+00,1.319242278809100055e+00,0.000000000000000000e+00
1.673999999999999932e+00,1.318996516475700043e+00,0.000000000000000000e+00
1.754999999999999893e+00,1.318736920288199999e+00,0.000000000000000000e+00
1.840000000000000080e+00,1.318461699822500055e+00,0.000000000000000000e+00
1.929000000000000048e+00,1.318168966873300096e+00,0.000000000000000000e+00
2.023000000000000131e+00,1.317853352576799919e+00,0.000000000000000000e+00
2.120999999999999996e+00,1.317516024157499910e+00,0.000000000000000000e+00
2.224000000000000199e+00,1.317151229945699997e+00,0.000000000000000000e+00
2.330999999999999961e+00,1.316760109746200058e+00,0.000000000000000000e+00
