wavelength_in_um,n,k
2.500000000000000000e-01,3.049580000000000179e+00,1.063965000000000050e+00
2.550000000000000044e-01,3.079131999999999980e+00,9.907569999999999988e-01
2.600000000000000089e-01,3.102520000000000167e+00,9.170449999999999990e-01
2.650000000000000133e-01,3.119809000000000054e+00,8.434239999999999515e-01
2.700000000000000178e-01,3.131130000000000191e+00,7.704659999999999842e-01
2.750000000000000222e-01,3.136674000000000184e+00,6.987139999999999462e-01
2.800000000000000266e-01,3.136684999999999945e+00,6.286730000000000373e-01
2.849999999999999756e-01,3.131451999999999902e+00,5.608100000000000307e-01
2.899999999999999800e-01,3.121300999999999881e+00,4.955459999999999865e-01
2.949999999999999845e-01,3.106589000000000045e+00,4.332599999999999785e-01
2.999999999999999889e-01,3.087695000000000078e+00,3.742860000000000076e-01
3.049999999999999933e-01,3.065014000000000127e+00,3.189170000000000060e-01
3.099999999999999978e-01,3.038956999999999908e+00,2.674079999999999790e-01
3.150000000000000022e-01,3.009942000000000117e+00,2.199780000000000069e-01
3.200000000000000067e-01,2.978400000000000158e+00,1.768160000000000009e-01
3.250000000000000111e-01,2.944768999999999970e+00,1.380830000000000113e-01
3.300000000000000155e-01,2.909504000000000090e+00,1.039189999999999975e-01
3.350000000000000200e-01,2.873078000000000021e+00,7.444299999999999529e-02
3.400000000000000244e-01,2.836018000000000150e+00,5.085699999999999943e-02
3.449999999999999734e-01,2.798877000000000059e+00,3.499900000000000233e-02
3.499999999999999778e-01,2.762242000000000086e+00,2.435800000000000118e-02
3.549999999999999822e-01,2.726898999999999962e+00,1.713100000000000039e-02
3.599999999999999867e-01,2.693979999999999819e+00,1.216399999999999947e-02
3.649999999999999911e-01,2.665906999999999805e+00,8.708999999999999728e-03
3.699999999999999956e-01,2.642546999999999979e+00,6.283999999999999655e-03
3.750000000000000000e-01,2.622006999999999977e+00,4.571999999999999675e-03
3.800000000000000044e-01,2.603584000000000120e+00,3.351999999999999945e-03
3.850000000000000089e-01,2.586863999999999830e+00,2.478000000000000168e-03
3.900000000000000133e-01,2.571562000000000126e+00,1.845000000000000069e-03
3.950000000000000178e-01,2.557471000000000050e+00,1.384000000000000031e-03
4.000000000000000222e-01,2.544427999999999912e+00,1.046000000000000055e-03
4.050000000000000266e-01,2.532303999999999888e+00,7.950000000000000252e-04
4.099999999999999756e-01,2.520995000000000097e+00,6.089999999999999494e-04
4.149999999999999800e-01,2.510413999999999923e+00,4.690000000000000158e-04
4.199999999999999845e-01,2.500484999999999847e+00,3.640000000000000115e-04
4.249999999999999889e-01,2.491146999999999778e+00,2.840000000000000185e-04
4.299999999999999933e-01,2.482346000000000164e+00,2.229999999999999994e-04
4.349999999999999978e-01,2.474034000000000066e+00,1.759999999999999954e-04
4.400000000000000022e-01,2.466169999999999973e+00,1.399999999999999877e-04
4.450000000000000067e-01,2.458718000000000181e+00,1.110000000000000011e-04
4.500000000000000111e-01,2.451645000000000074e+00,8.899999999999999491e-05
4.550000000000000155e-01,2.444923000000000179e+00,7.200000000000000182e-05
4.600000000000000200e-01,2.438525999999999971e+00,5.800000000000000034e-05
4.650000000000000244e-01,2.432430000000000092e+00,4.699999999999999724e-05
4.699999999999999734e-01,2.426616000000000106e+00,3.899999999999999929e-05
4.749999999999999778e-01,2.421063000000000187e+00,3.199999999999999855e-05
4.799999999999999822e-01,2.415754999999999875e+00,2.599999999999999840e-05
