wavelength_in_um,n,k
2.999999999999999889e-01,1.936647748262900093e+00,0.000000000000000000e+00
3.111999999999999766e-01,1.907713837029000103e+00,0.000000000000000000e+00
3.229000000000000203e-01,1.887028541391700065e+00,0.000000000000000000e+00
3.350000000000000200e-01,1.870522047389000075e+00,0.000000000000000000e+00
3.476000000000000201e-01,1.856587664510799929e+00,0.000000000000000000e+00
3.605999999999999761e-01,1.844634623246599991e+00,0.000000000000000000e+00
3.740999999999999881e-01,1.834155560297900056e+00,0.000000000000000000e+00
3.881999999999999895e-01,1.824829937947900049e+00,0.000000000000000000e+00
4.027000000000000024e-01,1.816598901213599904e+00,0.000000000000000000e+00
4.178000000000000047e-01,1.809199122859600051e+00,0.000000000000000000e+00
4.334999999999999964e-01,1.802531211648499943e+00,0.000000000000000000e+00
4.496999999999999886e-01,1.796545626754699976e+00,0.000000000000000000e+00
4.666000000000000147e-01,1.791096885407400086e+00,0.000000000000000000e+00
4.840999999999999748e-01,1.786161796591200002e+00,0.000000000000000000e+00
5.021999999999999797e-01,1.781685457720600052e+00,0.000000000000000000e+00
5.211000000000000076e-01,1.777578831455900010e+00,0.000000000000000000e+00
5.405999999999999694e-01,1.773849714203100003e+00,0.000000000000000000e+00
5.608999999999999542e-01,1.770426760329200100e+00,0.000000000000000000e+00
5.818999999999999728e-01,1.767299927469399901e+00,0.000000000000000000e+00
6.037000000000000144e-01,1.764429164161199992e+00,0.000000000000000000e+00
6.262999999999999678e-01,1.761793562381499978e+00,0.000000000000000000e+00
6.498000000000000442e-01,1.759363755569999910e+00,0.000000000000000000e+00
6.742000000000000215e-01,1.757124689980799959e+00,0.000000000000000000e+00
6.995000000000000107e-01,1.755061828860499995e+00,0.000000000000000000e+00
7.257000000000000117e-01,1.753161286902300109e+00,0.000000000000000000e+00
7.529000000000000137e-01,1.751403815584400059e+00,0.000000000000000000e+00
7.811000000000000165e-01,1.749779016702400103e+00,0.000000000000000000e+00
8.104000000000000092e-01,1.748271967924799997e+00,0.000000000000000000e+00
8.407999999999999918e-01,1.746874574644599942e+00,0.000000000000000000e+00
8.722999999999999643e-01,1.745578869147599965e+00,0.000000000000000000e+00
9.050000000000000266e-01,1.744373623800600015e+00,0.000000000000000000e+00
9.388999999999999568e-01,1.743252470398600096e+00,0.000000000000000000e+00
9.740999999999999659e-01,1.742206325777500009e+00,0.000000000000000000e+00
1.010999999999999899e+00,1.741219791560500108e+00,0.000000000000000000e+00
1.048999999999999932e+00,1.740304369798099993e+00,0.000000000000000000e+00
1.088000000000000078e+00,1.739455373488500101e+00,0.000000000000000000e+00
1.129000000000000004e+00,1.738647218612300094e+00,0.000000000000000000e+00
1.171000000000000041e+00,1.737895903017500077e+00,0.000000000000000000e+00
1.215000000000000080e+00,1.737179659728099956e+00,0.000000000000000000e+00
1.260000000000000009e+00,1.736511082458300104e+00,0.000000000000000000e+00
1.308000000000000052e+00,1.735858572455599935e+00,0.000000000000000000e+00
1.356999999999999984e+00,1.735247337078799967e+00,0.000000000000000000e+00
1.407999999999999918e+00,1.734661063703899941e+00,0.000000000000000000e+00
1.459999999999999964e+00,1.734107713720500099e+00,0.000000000000000000e+00
1.514999999999999902e+00,1.733563684257499959e+00,0.000000000000000000e+00
1.572000000000000064e+00,1.733037563395900094e+00,0.000000000000000000e+00
1.631000000000000005e+00,1.732526860853500050e+00,0.000000000000000000e+00
1.691999999999999948e+00,1.732029095258099893e+00,0.000000000000000000e+00
1.754999999999999893e+00,1.731541816530199895e+00,0.000000000000000000e+00
1.820999999999999952e+00,1.731055413029600087e+00,0.000000000000000000e+00
1.889000000000000012e+00,1.730575311104600056e+00,0.000000000000000000e+00
1.959999999999999964e+00,1.730092395201499933e+00,0.000000000000000000e+00
2.033999999999999808e+00,1.729604900705800086e+00,0.000000000000000000e+00
2.109999999999999876e+00,1.729117255370899997e+00,0.000000000000000000e+00
2.189000000000000057e+00,1.728620850283099974e+00,0.000000000000000000e+00
2.270999999999999908e+00,1.728113660410500074e+00,0.000000000000000000e+00
2.355999999999999872e+00,1.727593580366699966e+00,0.000000000000000000e+00
2.444999999999999840e+00,1.727052370936299930e+00,0.000000000000000000e+00
2.536000000000000032e+00,1.726499956935299895e+00,0.000000000000000000e+00
2.630999999999999783e+00,1.725921892020999993e+00,0.000000000000000000e+00
2.729999999999999982e+00,1.725315749899299922e+00,0.000000000000000000e+00
2.831999999999999851e+00,1.724685174189900083e+00,0.000000000000000000e+00
2.939000000000000057e+00,1.724015111192700012e+00,0.000000000000000000e+00
3.048999999999999932e+00,1.723315302114799996e+00,0.000000000000000000e+00
3.162999999999999812e+00,1.722576651743999987e+00,0.000000000000000000e+00
3.282000000000000028e+00,1.721789495114800062e+00,0.000000000000000000e+00
3.404999999999999805e+00,1.720957128042299944e+00,0.000000000000000000e+00
3.532000000000000028e+00,1.720076343519600037e+00,0.000000000000000000e+00
3.665000000000000036e+00,1.719129420528600072e+00,0.000000000000000000e+00
3.802000000000000046e+00,1.718126596597199907e+00,0.000000000000000000e+00
3.944999999999999840e+00,1.717049047402100070e+00,0.000000000000000000e+00
4.092999999999999972e+00,1.715899631231899924e+00,0.000000000000000000e+00
4.246000000000000441e+00,1.714673833708000084e+00,0.000000000000000000e+00
4.405000000000000249e+00,1.713358579660799963e+00,0.000000000000000000e+00
4.570000000000000284e+00,1.711948199688499983e+00,0.000000000000000000e+00
4.741999999999999993e+00,1.710427793998900103e+00,0.000000000000000000e+00
4.919999999999999929e+00,1.708799571384300053e+00,0.000000000000000000e+00
5.104000000000000092e+00,1.707057093123300007e+00,0.000000000000000000e+00
5.294999999999999929e+00,1.705183694741700062e+00,0.000000000000000000e+00
5.493999999999999773e+00,1.703161014041900012e+00,0.000000000000000000e+00
5.700000000000000178e+00,1.700990272317800089e+00,0.000000000000000000e+00
5.913999999999999702e+00,1.698651574535400055e+00,0.000000000000000000e+00
6.134999999999999787e+00,1.696146087536299918e+00,0.000000000000000000e+00
6.365000000000000213e+00,1.693440296803099931e+00,0.000000000000000000e+00
6.604000000000000092e+00,1.690521539094000047e+00,0.000000000000000000e+00
6.850999999999999979e+00,1.687389444581099962e+00,0.000000000000000000e+00
7.107999999999999652e+00,1.684004734737599929e+00,0.000000000000000000e+00
7.375000000000000000e+00,1.680351296072500000e+00,0.000000000000000000e+00
7.650999999999999801e+00,1.676426673335899897e+00,0.000000000000000000e+00
7.937999999999999723e+00,1.672184629219700014e+00,0.000000000000000000e+00
8.236000000000000654e+00,1.667604705620600036e+00,0.000000000000000000e+00
8.544999999999999929e+00,1.662665325217199896e+00,0.000000000000000000e+00
8.865000000000000213e+00,1.657343731791500074e+00,0.000000000000000000e+00
9.196999999999999176e+00,1.651598271236700111e+00,0.000000000000000000e+00
9.541999999999999815e+00,1.645383069095299966e+00,0.000000000000000000e+00
9.900000000000000355e+00,1.638666730590399911e+00,0.000000000000000000e+00
1.026999999999999957e+01,1.631435856379700011e+00,0.000000000000000000e+00
1.066000000000000014e+01,1.623491198363699928e+00,0.000000000000000000e+00
1.106000000000000050e+01,1.614993341859300102e+00,0.000000000000000000e+00
1.147000000000000064e+01,1.605909751427200050e+00,0.000000000000000000e+00
1.190000000000000036e+01,1.595969913507599980e+00,0.000000000000000000e+00
