wavelength_in_um,n,k
2.300000000000000100e-01,2.350000000000000089e+00,5.660000000000000100e-03
2.320000000000000118e-01,2.350000000000000089e+00,5.479999999999999628e-03
2.340000000000000135e-01,2.342709999999999848e+00,5.309999999999999616e-03
2.359999999999999876e-01,2.333029999999999937e+00,5.139999999999999604e-03
2.379999999999999893e-01,2.323710000000000164e+00,4.980000000000000052e-03
2.399999999999999911e-01,2.314719999999999889e+00,4.830000000000000092e-03
2.419999999999999929e-01,2.306049999999999933e+00,4.680000000000000132e-03
2.439999999999999947e-01,2.297680000000000167e+00,4.530000000000000172e-03
2.459999999999999964e-01,2.289610000000000145e+00,4.389999999999999805e-03
2.479999999999999982e-01,2.281820000000000181e+00,4.250000000000000305e-03
2.500000000000000000e-01,2.274300000000000210e+00,4.120000000000000398e-03
2.520000000000000018e-01,2.267030000000000101e+00,3.989999999999999623e-03
2.540000000000000036e-01,2.260009999999999852e+00,3.870000000000000176e-03
2.560000000000000053e-01,2.253219999999999779e+00,3.749999999999999861e-03
2.580000000000000071e-01,2.246659999999999879e+00,3.629999999999999980e-03
2.600000000000000089e-01,2.240310000000000024e+00,3.520000000000000125e-03
2.620000000000000107e-01,2.234160000000000146e+00,3.409999999999999837e-03
2.640000000000000124e-01,2.228219999999999867e+00,3.299999999999999982e-03
2.660000000000000142e-01,2.222459999999999880e+00,3.200000000000000153e-03
2.680000000000000160e-01,2.216889999999999805e+00,3.099999999999999891e-03
2.700000000000000178e-01,2.211489999999999956e+00,3.000000000000000062e-03
2.720000000000000195e-01,2.206259999999999888e+00,2.909999999999999826e-03
2.740000000000000213e-01,2.201179999999999914e+00,2.820000000000000024e-03
2.760000000000000231e-01,2.196270000000000167e+00,2.729999999999999788e-03
2.780000000000000249e-01,2.191500000000000004e+00,2.639999999999999986e-03
2.800000000000000266e-01,2.186869999999999870e+00,2.560000000000000209e-03
2.819999999999999729e-01,2.182380000000000209e+00,2.480000000000000000e-03
2.839999999999999747e-01,2.178030000000000133e+00,2.399999999999999790e-03
2.859999999999999765e-01,2.173799999999999955e+00,2.330000000000000040e-03
2.879999999999999782e-01,2.169690000000000119e+00,2.259999999999999856e-03
2.899999999999999800e-01,2.165700000000000180e+00,2.190000000000000106e-03
2.919999999999999818e-01,2.161830000000000140e+00,2.119999999999999923e-03
2.939999999999999836e-01,2.158059999999999867e+00,2.050000000000000173e-03
2.959999999999999853e-01,2.154399999999999871e+00,1.990000000000000015e-03
2.979999999999999871e-01,2.150840000000000085e+00,1.930000000000000075e-03
2.999999999999999889e-01,2.147380000000000067e+00,1.869999999999999917e-03
3.019999999999999907e-01,2.144010000000000193e+00,1.809999999999999977e-03
3.039999999999999925e-01,2.140740000000000087e+00,1.750000000000000036e-03
3.059999999999999942e-01,2.137550000000000061e+00,1.699999999999999905e-03
3.079999999999999960e-01,2.134450000000000180e+00,1.639999999999999965e-03
3.099999999999999978e-01,2.131429999999999936e+00,1.590000000000000050e-03
3.119999999999999996e-01,2.128480000000000150e+00,1.539999999999999919e-03
3.140000000000000013e-01,2.125620000000000065e+00,1.490000000000000005e-03
3.160000000000000031e-01,2.122829999999999995e+00,1.449999999999999900e-03
3.180000000000000049e-01,2.120109999999999939e+00,1.399999999999999986e-03
3.200000000000000067e-01,2.117459999999999898e+00,1.360000000000000098e-03
3.220000000000000084e-01,2.114879999999999871e+00,1.319999999999999993e-03
3.240000000000000102e-01,2.112359999999999793e+00,1.280000000000000105e-03
3.260000000000000120e-01,2.109900000000000109e+00,1.240000000000000000e-03
3.280000000000000138e-01,2.107509999999999994e+00,1.199999999999999895e-03
3.300000000000000155e-01,2.105170000000000208e+00,1.160000000000000007e-03
3.320000000000000173e-01,2.102889999999999926e+00,1.119999999999999902e-03
3.340000000000000191e-01,2.100659999999999972e+00,1.090000000000000040e-03
3.360000000000000209e-01,2.098489999999999966e+00,1.049999999999999935e-03
3.380000000000000226e-01,2.096369999999999845e+00,1.020000000000000073e-03
3.400000000000000244e-01,2.094300000000000050e+00,9.899999999999999946e-04
3.420000000000000262e-01,2.092280000000000140e+00,9.590000000000000000e-04
3.439999999999999725e-01,2.090300000000000047e+00,9.290000000000000297e-04
3.459999999999999742e-01,2.088379999999999903e+00,8.999999999999999754e-04
3.479999999999999760e-01,2.086489999999999956e+00,8.720000000000000537e-04
3.499999999999999778e-01,2.084649999999999892e+00,8.450000000000000479e-04
3.519999999999999796e-01,2.082850000000000090e+00,8.189999999999999581e-04
3.539999999999999813e-01,2.081090000000000106e+00,7.929999999999999766e-04
3.559999999999999831e-01,2.079369999999999941e+00,7.680000000000000195e-04
3.579999999999999849e-01,2.077679999999999971e+00,7.439999999999999782e-04
3.599999999999999867e-01,2.076039999999999885e+00,7.209999999999999612e-04
3.619999999999999885e-01,2.074429999999999996e+00,6.989999999999999686e-04
3.639999999999999902e-01,2.072849999999999859e+00,6.769999999999999759e-04
3.659999999999999920e-01,2.071309999999999985e+00,6.560000000000000076e-04
3.679999999999999938e-01,2.069799999999999862e+00,6.350000000000000392e-04
3.699999999999999956e-01,2.068330000000000002e+00,6.160000000000000111e-04
3.719999999999999973e-01,2.066879999999999828e+00,5.959999999999999586e-04
3.739999999999999991e-01,2.065469999999999917e+00,5.779999999999999548e-04
3.760000000000000009e-01,2.064080000000000137e+00,5.599999999999999509e-04
3.780000000000000027e-01,2.062730000000000175e+00,5.419999999999999471e-04
3.800000000000000044e-01,2.061399999999999899e+00,5.249999999999999676e-04
3.820000000000000062e-01,2.060099999999999820e+00,5.090000000000000123e-04
3.840000000000000080e-01,2.058819999999999872e+00,4.929999999999999487e-04
3.860000000000000098e-01,2.057570000000000121e+00,4.780000000000000178e-04
3.880000000000000115e-01,2.056350000000000122e+00,4.629999999999999784e-04
3.900000000000000133e-01,2.055149999999999810e+00,4.479999999999999933e-04
3.920000000000000151e-01,2.053970000000000073e+00,4.339999999999999782e-04
3.940000000000000169e-01,2.052820000000000089e+00,4.209999999999999875e-04
3.960000000000000187e-01,2.051689999999999792e+00,4.079999999999999968e-04
3.980000000000000204e-01,2.050580000000000069e+00,3.950000000000000061e-04
4.000000000000000222e-01,2.049490000000000034e+00,3.829999999999999854e-04
4.020000000000000240e-01,2.048420000000000130e+00,3.710000000000000190e-04
4.040000000000000258e-01,2.047379999999999978e+00,3.589999999999999984e-04
4.060000000000000275e-01,2.046349999999999891e+00,3.480000000000000020e-04
4.079999999999999738e-01,2.045339999999999936e+00,3.370000000000000057e-04
4.099999999999999756e-01,2.044350000000000112e+00,3.269999999999999795e-04
4.119999999999999774e-01,2.043379999999999974e+00,3.159999999999999832e-04
4.139999999999999791e-01,2.042429999999999968e+00,3.069999999999999812e-04
4.159999999999999809e-01,2.041490000000000027e+00,2.970000000000000092e-04
4.179999999999999827e-01,2.040579999999999838e+00,2.880000000000000073e-04
4.199999999999999845e-01,2.039680000000000160e+00,2.790000000000000054e-04
4.219999999999999862e-01,2.038790000000000102e+00,2.700000000000000035e-04
4.239999999999999880e-01,2.037920000000000176e+00,2.620000000000000258e-04
4.259999999999999898e-01,2.037069999999999936e+00,2.530000000000000239e-04
4.279999999999999916e-01,2.036230000000000206e+00,2.460000000000000164e-04
4.299999999999999933e-01,2.035410000000000164e+00,2.380000000000000117e-04
4.319999999999999951e-01,2.034600000000000186e+00,2.300000000000000070e-04
4.339999999999999969e-01,2.033799999999999830e+00,2.229999999999999994e-04
4.359999999999999987e-01,2.033020000000000049e+00,2.159999999999999919e-04
4.380000000000000004e-01,2.032249999999999890e+00,2.100000000000000087e-04
4.400000000000000022e-01,2.031499999999999861e+00,2.030000000000000012e-04
4.420000000000000040e-01,2.030759999999999899e+00,1.969999999999999909e-04
4.440000000000000058e-01,2.030030000000000001e+00,1.910000000000000077e-04
4.460000000000000075e-01,2.029310000000000169e+00,1.849999999999999973e-04
4.480000000000000093e-01,2.028599999999999959e+00,1.789999999999999870e-04
4.500000000000000111e-01,2.027909999999999879e+00,1.730000000000000038e-04
4.520000000000000129e-01,2.027229999999999865e+00,1.679999999999999907e-04
4.540000000000000147e-01,2.026559999999999917e+00,1.630000000000000047e-04
4.560000000000000164e-01,2.025900000000000034e+00,1.579999999999999916e-04
4.580000000000000182e-01,2.025250000000000217e+00,1.530000000000000056e-04
4.600000000000000200e-01,2.024610000000000021e+00,1.479999999999999925e-04
4.620000000000000218e-01,2.023979999999999890e+00,1.430000000000000064e-04
4.640000000000000235e-01,2.023359999999999825e+00,1.389999999999999905e-04
4.660000000000000253e-01,2.022749999999999826e+00,1.350000000000000017e-04
4.680000000000000271e-01,2.022159999999999958e+00,1.299999999999999886e-04
4.699999999999999734e-01,2.021570000000000089e+00,1.259999999999999998e-04
4.719999999999999751e-01,2.020989999999999842e+00,1.219999999999999974e-04
4.739999999999999769e-01,2.020410000000000039e+00,1.179999999999999951e-04
4.759999999999999787e-01,2.019849999999999923e+00,1.150000000000000035e-04
4.779999999999999805e-01,2.019299999999999873e+00,1.110000000000000011e-04
4.799999999999999822e-01,2.018749999999999822e+00,1.079999999999999960e-04
4.819999999999999840e-01,2.018219999999999903e+00,1.039999999999999936e-04
4.839999999999999858e-01,2.017689999999999984e+00,1.010000000000000020e-04
4.859999999999999876e-01,2.017170000000000130e+00,9.799999999999999684e-05
4.879999999999999893e-01,2.016659999999999897e+00,9.490000000000000280e-05
4.899999999999999911e-01,2.016150000000000109e+00,9.200000000000000007e-05
4.919999999999999929e-01,2.015649999999999942e+00,8.909999999999999734e-05
4.939999999999999947e-01,2.015159999999999840e+00,8.629999999999999705e-05
