wavelength_in_um,n,k
2.000000000000000000e+00,3.469867217600000053e+00,4.259999999999999765e-08
2.009999999999999787e+00,3.469867185900000095e+00,4.329999999999999730e-08
2.020000000000000018e+00,3.469867154000000120e+00,4.390000000000000267e-08
2.029999999999999805e+00,3.469867122000000137e+00,4.460000000000000232e-08
2.040000000000000036e+00,3.469867089800000137e+00,4.530000000000000197e-08
2.049999999999999822e+00,3.469867057400000121e+00,4.600000000000000162e-08
2.060000000000000053e+00,3.469867024800000088e+00,4.670000000000000127e-08
2.069999999999999840e+00,3.469866992100000047e+00,4.740000000000000093e-08
2.080000000000000071e+00,3.469866959199999989e+00,4.810000000000000058e-08
2.089999999999999858e+00,3.469866926099999915e+00,4.880000000000000023e-08
2.100000000000000089e+00,3.469866892899999833e+00,4.949999999999999988e-08
2.109999999999999876e+00,3.469866859500000178e+00,5.030000000000000042e-08
2.120000000000000107e+00,3.469866825900000062e+00,5.100000000000000007e-08
2.129999999999999893e+00,3.469866792099999930e+00,5.180000000000000062e-08
2.140000000000000124e+00,3.469866758099999782e+00,5.250000000000000027e-08
2.149999999999999911e+00,3.469866724000000069e+00,5.330000000000000082e-08
2.160000000000000142e+00,3.469866689699999895e+00,5.410000000000000136e-08
2.169999999999999929e+00,3.469866655300000158e+00,5.480000000000000101e-08
2.180000000000000160e+00,3.469866620599999951e+00,5.560000000000000156e-08
2.189999999999999947e+00,3.469866585800000180e+00,5.640000000000000211e-08
2.200000000000000178e+00,3.469866550799999949e+00,5.720000000000000265e-08
2.209999999999999964e+00,3.469866515600000145e+00,5.800000000000000320e-08
2.220000000000000195e+00,3.469866480299999889e+00,5.879999999999999713e-08
2.229999999999999982e+00,3.469866444700000052e+00,5.969999999999999857e-08
2.240000000000000213e+00,3.469866409000000207e+00,6.050000000000000573e-08
2.250000000000000000e+00,3.469866373199999909e+00,6.139999999999999394e-08
2.259999999999999787e+00,3.469866337100000031e+00,6.220000000000000110e-08
2.270000000000000018e+00,3.469866300900000144e+00,6.310000000000000254e-08
2.279999999999999805e+00,3.469866264499999797e+00,6.389999999999999647e-08
2.290000000000000036e+00,3.469866227899999878e+00,6.479999999999999791e-08
2.299999999999999822e+00,3.469866191099999941e+00,6.569999999999999936e-08
2.310000000000000053e+00,3.469866154199999997e+00,6.660000000000000080e-08
2.319999999999999840e+00,3.469866117100000036e+00,6.750000000000000224e-08
2.330000000000000071e+00,3.469866079800000058e+00,6.840000000000000368e-08
2.339999999999999858e+00,3.469866042300000064e+00,6.930000000000000512e-08
2.350000000000000089e+00,3.469866004600000053e+00,7.020000000000000656e-08
2.359999999999999876e+00,3.469865966800000034e+00,7.120000000000000228e-08
2.370000000000000107e+00,3.469865928799999999e+00,7.210000000000000373e-08
2.379999999999999893e+00,3.469865890599999947e+00,7.309999999999999944e-08
2.390000000000000124e+00,3.469865852199999878e+00,7.400000000000000089e-08
2.399999999999999911e+00,3.469865813599999793e+00,7.499999999999999661e-08
2.410000000000000142e+00,3.469865774900000144e+00,7.600000000000000556e-08
2.419999999999999929e+00,3.469865736000000034e+00,7.700000000000000128e-08
2.430000000000000160e+00,3.469865696899999907e+00,7.799999999999999700e-08
2.439999999999999947e+00,3.469865657600000208e+00,7.900000000000000595e-08
2.450000000000000178e+00,3.469865618100000049e+00,8.000000000000000167e-08
2.459999999999999964e+00,3.469865578499999881e+00,8.099999999999999739e-08
2.470000000000000195e+00,3.469865538700000140e+00,8.200000000000000635e-08
2.479999999999999982e+00,3.469865498599999931e+00,8.309999999999999635e-08
2.490000000000000213e+00,3.469865458400000158e+00,8.410000000000000530e-08
2.500000000000000000e+00,3.469865418099999932e+00,8.519999999999999530e-08
2.509999999999999787e+00,3.469865377500000125e+00,8.629999999999999853e-08
2.520000000000000018e+00,3.469865336799999866e+00,8.740000000000000176e-08
2.529999999999999805e+00,3.469865295800000027e+00,8.839999999999999748e-08
2.540000000000000036e+00,3.469865254700000179e+00,8.950000000000000071e-08
2.549999999999999822e+00,3.469865213399999870e+00,9.069999999999999822e-08
2.560000000000000053e+00,3.469865171899999989e+00,9.180000000000000146e-08
2.569999999999999840e+00,3.469865130300000100e+00,9.290000000000000469e-08
2.580000000000000071e+00,3.469865088400000186e+00,9.399999999999999469e-08
2.589999999999999858e+00,3.469865046399999819e+00,9.520000000000000543e-08
2.600000000000000089e+00,3.469865004099999872e+00,9.640000000000000294e-08
2.609999999999999876e+00,3.469864961699999917e+00,9.750000000000000618e-08
2.620000000000000107e+00,3.469864919099999945e+00,9.870000000000000369e-08
2.629999999999999893e+00,3.469864876299999956e+00,9.990000000000000120e-08
2.640000000000000124e+00,3.469864833399999959e+00,1.010999999999999987e-07
2.649999999999999911e+00,3.469864790199999938e+00,1.022999999999999962e-07
2.660000000000000142e+00,3.469864746899999908e+00,1.034999999999999937e-07
2.669999999999999929e+00,3.469864703299999853e+00,1.047999999999999988e-07
2.680000000000000160e+00,3.469864659599999790e+00,1.059999999999999963e-07
2.689999999999999947e+00,3.469864615700000154e+00,1.071999999999999938e-07
2.700000000000000178e+00,3.469864571600000058e+00,1.084999999999999988e-07
2.709999999999999964e+00,3.469864527299999946e+00,1.098000000000000038e-07
2.720000000000000195e+00,3.469864482799999816e+00,1.110999999999999956e-07
2.729999999999999982e+00,3.469864438100000115e+00,1.124000000000000006e-07
2.740000000000000213e+00,3.469864393299999961e+00,1.137000000000000057e-07
2.750000000000000000e+00,3.469864348199999782e+00,1.149999999999999974e-07
2.759999999999999787e+00,3.469864303000000039e+00,1.163000000000000025e-07
2.770000000000000018e+00,3.469864257499999827e+00,1.175999999999999943e-07
2.779999999999999805e+00,3.469864211900000051e+00,1.189999999999999936e-07
2.790000000000000036e+00,3.469864166099999814e+00,1.203999999999999929e-07
2.799999999999999822e+00,3.469864120100000004e+00,1.217000000000000111e-07
2.810000000000000053e+00,3.469864073900000179e+00,1.231000000000000104e-07
2.819999999999999840e+00,3.469864027499999892e+00,1.245000000000000097e-07
2.830000000000000071e+00,3.469863980900000033e+00,1.259000000000000090e-07
2.839999999999999858e+00,3.469863934100000158e+00,1.273000000000000083e-07
2.850000000000000089e+00,3.469863887099999822e+00,1.287000000000000076e-07
2.859999999999999876e+00,3.469863839899999913e+00,1.301999999999999880e-07
2.870000000000000107e+00,3.469863792499999988e+00,1.315999999999999873e-07
