wavelength_in_um,n,k
2.069999999999999896e-01,2.512469861309099883e+00,1.799999999999999933e-01
2.172999999999999932e-01,2.435379984662600084e+00,1.499999999999999944e-01
2.277000000000000135e-01,2.374772169754499895e+00,1.000000000000000056e-01
2.379999999999999893e-01,2.326814744092600140e+00,7.000000000000000666e-02
2.482999999999999929e-01,2.287661985342699822e+00,4.000000000000000083e-02
2.586999999999999855e-01,2.254871947265999932e+00,1.000000000000000021e-02
2.690000000000000169e-01,2.227557934648400018e+00,5.000000000000000104e-03
2.792999999999999927e-01,2.204291676539599898e+00,1.000000000000000021e-03
2.896000000000000241e-01,2.184271873118500018e+00,1.000000000000000021e-03
2.999999999999999889e-01,2.166735893325100193e+00,1.000000000000000021e-03
3.103000000000000203e-01,2.151552173057699857e+00,0.000000000000000000e+00
3.205999999999999961e-01,2.138177121993400043e+00,0.000000000000000000e+00
3.310000000000000164e-01,2.126214558045799841e+00,0.000000000000000000e+00
3.412999999999999923e-01,2.115661960578500089e+00,0.000000000000000000e+00
3.516000000000000236e-01,2.106210331735499874e+00,0.000000000000000000e+00
3.619999999999999885e-01,2.097628043916300200e+00,0.000000000000000000e+00
3.723000000000000198e-01,2.089952468625900117e+00,0.000000000000000000e+00
3.825999999999999956e-01,2.082991215140800101e+00,0.000000000000000000e+00
3.929000000000000270e-01,2.076655665985399857e+00,0.000000000000000000e+00
4.032999999999999918e-01,2.070817193635599907e+00,0.000000000000000000e+00
4.136000000000000232e-01,2.065523824433999955e+00,0.000000000000000000e+00
4.238999999999999990e-01,2.060662344402199864e+00,0.000000000000000000e+00
4.343000000000000194e-01,2.056144125759399977e+00,0.000000000000000000e+00
4.445999999999999952e-01,2.052015178851199995e+00,0.000000000000000000e+00
4.549000000000000266e-01,2.048195052057100174e+00,0.000000000000000000e+00
4.652999999999999914e-01,2.044619900455599826e+00,0.000000000000000000e+00
4.756000000000000227e-01,2.041331349915100013e+00,0.000000000000000000e+00
4.858999999999999986e-01,2.038270067290600007e+00,0.000000000000000000e+00
4.961999999999999744e-01,2.035415171709099802e+00,0.000000000000000000e+00
5.066000000000000503e-01,2.032723140387500127e+00,0.000000000000000000e+00
5.169000000000000261e-01,2.030229185143099802e+00,0.000000000000000000e+00
5.272000000000000020e-01,2.027891907327500132e+00,0.000000000000000000e+00
5.375999999999999668e-01,2.025677596853700191e+00,0.000000000000000000e+00
5.479000000000000536e-01,2.023617028125200168e+00,0.000000000000000000e+00
5.582000000000000295e-01,2.021677713493399864e+00,0.000000000000000000e+00
5.685999999999999943e-01,2.019832953625300132e+00,0.000000000000000000e+00
5.788999999999999702e-01,2.018109604682699842e+00,0.000000000000000000e+00
5.891999999999999460e-01,2.016481667444399939e+00,0.000000000000000000e+00
5.995000000000000329e-01,2.014942129388099801e+00,0.000000000000000000e+00
6.098999999999999977e-01,2.013470850716200022e+00,0.000000000000000000e+00
6.201999999999999735e-01,2.012090279963400175e+00,0.000000000000000000e+00
6.304999999999999494e-01,2.010780595832100115e+00,0.000000000000000000e+00
6.409000000000000252e-01,2.009525203029700169e+00,0.000000000000000000e+00
6.512000000000000011e-01,2.008343788679300079e+00,0.000000000000000000e+00
6.614999999999999769e-01,2.007219918771399936e+00,0.000000000000000000e+00
6.719000000000000528e-01,2.006139738009200091e+00,0.000000000000000000e+00
6.822000000000000286e-01,2.005120572586600147e+00,0.000000000000000000e+00
6.925000000000000044e-01,2.004148633201200180e+00,0.000000000000000000e+00
7.027999999999999803e-01,2.003221016768999885e+00,0.000000000000000000e+00
7.131999999999999451e-01,2.002326636131099846e+00,0.000000000000000000e+00
7.235000000000000320e-01,2.001480192067300212e+00,0.000000000000000000e+00
7.338000000000000078e-01,2.000670592424400152e+00,0.000000000000000000e+00
7.441999999999999726e-01,1.999888350372500012e+00,0.000000000000000000e+00
7.544999999999999485e-01,1.999146519111399956e+00,0.000000000000000000e+00
7.648000000000000353e-01,1.998435578203900054e+00,0.000000000000000000e+00
7.752000000000000002e-01,1.997747340380100045e+00,0.000000000000000000e+00
7.854999999999999760e-01,1.997093439732900100e+00,0.000000000000000000e+00
7.957999999999999519e-01,1.996465639240899925e+00,0.000000000000000000e+00
8.061000000000000387e-01,1.995862557272900073e+00,0.000000000000000000e+00
8.165000000000000036e-01,1.995277386193200053e+00,0.000000000000000000e+00
8.267999999999999794e-01,1.994720162934900065e+00,0.000000000000000000e+00
8.370999999999999552e-01,1.994184020227300014e+00,0.000000000000000000e+00
8.475000000000000311e-01,1.993662984405699889e+00,0.000000000000000000e+00
8.578000000000000069e-01,1.993166075979800000e+00,0.000000000000000000e+00
8.680999999999999828e-01,1.992687259418499890e+00,0.000000000000000000e+00
8.784999999999999476e-01,1.992221261305999969e+00,0.000000000000000000e+00
8.888000000000000345e-01,1.991776215617599988e+00,0.000000000000000000e+00
8.991000000000000103e-01,1.991346787426200082e+00,0.000000000000000000e+00
9.093999999999999861e-01,1.990932249942100052e+00,0.000000000000000000e+00
9.197999999999999510e-01,1.990528099182699906e+00,0.000000000000000000e+00
9.301000000000000378e-01,1.990141456617700033e+00,0.000000000000000000e+00
9.404000000000000137e-01,1.989767759520300050e+00,0.000000000000000000e+00
9.507999999999999785e-01,1.989402983886999987e+00,0.000000000000000000e+00
9.610999999999999543e-01,1.989053597298799936e+00,0.000000000000000000e+00
9.714000000000000412e-01,1.988715520000599923e+00,0.000000000000000000e+00
9.818000000000000060e-01,1.988385140820899899e+00,0.000000000000000000e+00
9.920999999999999819e-01,1.988068350030300024e+00,0.000000000000000000e+00
1.002000000000000002e+00,1.987773221050900041e+00,0.000000000000000000e+00
1.012999999999999901e+00,1.987455608295900067e+00,0.000000000000000000e+00
1.022999999999999909e+00,1.987175898373499949e+00,0.000000000000000000e+00
1.032999999999999918e+00,1.986904436355199977e+00,0.000000000000000000e+00
1.044000000000000039e+00,1.986614969850599932e+00,0.000000000000000000e+00
1.054000000000000048e+00,1.986359796899900054e+00,0.000000000000000000e+00
1.064000000000000057e+00,1.986111921633400001e+00,0.000000000000000000e+00
1.074999999999999956e+00,1.985847357593500062e+00,0.000000000000000000e+00
1.084999999999999964e+00,1.985613921764199929e+00,0.000000000000000000e+00
1.094999999999999973e+00,1.985386966916300011e+00,0.000000000000000000e+00
1.106000000000000094e+00,1.985144517529499941e+00,0.000000000000000000e+00
1.116000000000000103e+00,1.984930408729699947e+00,0.000000000000000000e+00
1.125999999999999890e+00,1.984722075750700032e+00,0.000000000000000000e+00
1.137000000000000011e+00,1.984499334099500079e+00,0.000000000000000000e+00
1.147000000000000020e+00,1.984302468426899946e+00,0.000000000000000000e+00
1.157000000000000028e+00,1.984110767102299944e+00,0.000000000000000000e+00
1.167999999999999927e+00,1.983905646167299919e+00,0.000000000000000000e+00
1.177999999999999936e+00,1.983724214155099919e+00,0.000000000000000000e+00
1.187999999999999945e+00,1.983547414109199991e+00,0.000000000000000000e+00
1.199000000000000066e+00,1.983358096907900103e+00,0.000000000000000000e+00
1.209000000000000075e+00,1.983190521133000095e+00,0.000000000000000000e+00
1.219000000000000083e+00,1.983027112030500083e+00,0.000000000000000000e+00
1.229999999999999982e+00,1.982852010620399952e+00,0.000000000000000000e+00
1.239999999999999991e+00,1.982696910781299948e+00,0.000000000000000000e+00
1.340000000000000080e+00,1.981696910781300058e+00,0.000000000000000000e+00
