wavelength_in_um,n,k
2.399999999999999911e-01,1.846999999999999975e+00,6.999999999999999556e-01
2.610000000000000098e-01,1.933000000000000052e+00,6.086190476190476151e-01
2.810000000000000275e-01,2.051000000000000156e+00,5.240500000000000158e-01
2.999999999999999889e-01,2.161000000000000032e+00,4.299999999999999933e-01
3.119999999999999996e-01,2.216000000000000192e+00,3.791200000000000125e-01
3.280000000000000138e-01,2.245999999999999996e+00,3.155000000000000027e-01
3.380000000000000226e-01,2.254999999999999893e+00,2.871666666666665702e-01
3.499999999999999778e-01,2.258999999999999897e+00,2.531666666666666510e-01
3.599999999999999867e-01,2.254999999999999893e+00,2.248333333333333295e-01
3.699999999999999956e-01,2.237000000000000099e+00,1.965000000000000080e-01
3.780000000000000027e-01,2.213000000000000078e+00,1.776296296296296373e-01
3.880000000000000115e-01,2.180000000000000160e+00,1.568888888888888833e-01
3.970000000000000195e-01,2.157999999999999918e+00,1.382222222222222185e-01
4.109999999999999765e-01,2.125000000000000000e+00,1.152608695652174442e-01
4.229999999999999871e-01,2.096000000000000085e+00,9.700000000000000289e-02
4.319999999999999951e-01,2.077999999999999847e+00,8.557692307692307820e-02
4.430000000000000049e-01,2.059000000000000163e+00,7.161538461538460854e-02
4.580000000000000182e-01,2.040999999999999925e+00,5.823999999999998622e-02
4.709999999999999742e-01,2.023000000000000131e+00,4.992000000000000604e-02
4.829999999999999849e-01,2.009999999999999787e+00,4.152000000000000135e-02
5.000000000000000000e-01,1.999000000000000110e+00,2.914999999999999883e-02
5.160000000000000142e-01,1.989999999999999991e+00,1.554999999999999785e-02
5.290000000000000258e-01,1.985000000000000098e+00,1.061904761904761824e-02
5.480000000000000426e-01,1.979000000000000092e+00,5.454545454545454974e-03
5.699999999999999512e-01,1.973999999999999977e+00,1.000000000000000021e-03
6.089999999999999858e-01,1.963000000000000078e+00,9.775000000000000702e-04
6.600000000000000311e-01,1.949000000000000066e+00,8.499999999999998442e-04
6.999999999999999556e-01,1.941999999999999948e+00,7.500000000000000156e-04
7.800000000000000266e-01,1.933000000000000052e+00,5.499999999999999247e-04
8.289999999999999591e-01,1.925999999999999934e+00,4.275000000000000371e-04
8.719999999999999973e-01,1.919000000000000039e+00,3.199999999999999720e-04
9.000000000000000222e-01,1.915999999999999925e+00,2.499999999999998968e-04
9.609999999999999654e-01,1.911999999999999922e+00,9.750000000000003889e-05
1.000000000000000000e+00,1.907000000000000028e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.852999999999999980e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.822000000000000064e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.796999999999999931e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.743000000000000105e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.693999999999999950e+00,0.000000000000000000e+00
6.389999999999999680e+00,1.667999999999999927e+00,0.000000000000000000e+00
6.660000000000000142e+00,1.647999999999999909e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.602000000000000091e+00,0.000000000000000000e+00
7.190000000000000391e+00,1.550000000000000044e+00,0.000000000000000000e+00
7.400000000000000355e+00,1.477000000000000091e+00,0.000000000000000000e+00
7.570000000000000284e+00,1.401999999999999913e+00,0.000000000000000000e+00
7.719999999999999751e+00,1.324000000000000066e+00,0.000000000000000000e+00
7.830000000000000071e+00,1.258999999999999897e+00,0.000000000000000000e+00
7.940000000000000391e+00,1.191999999999999948e+00,0.000000000000000000e+00
8.029999999999999361e+00,1.147000000000000020e+00,1.562499999999965392e-03
8.140000000000000568e+00,1.076999999999999957e+00,7.291666666666690201e-03
8.279999999999999361e+00,9.989999999999999991e-01,3.865882352941180794e-02
8.470000000000000639e+00,9.190000000000000391e-01,1.622068965517247663e-01
8.550000000000000711e+00,8.910000000000000142e-01,2.303834586466175227e-01
8.669999999999999929e+00,8.760000000000000009e-01,3.458721804511280529e-01
8.830000000000000071e+00,8.709999999999999964e-01,5.083595041322316321e-01
8.980000000000000426e+00,8.810000000000000053e-01,6.750950413223140156e-01
9.080000000000000071e+00,9.050000000000000266e-01,7.823050847457624357e-01
9.220000000000000639e+00,9.699999999999999734e-01,9.294237288135603903e-01
9.359999999999999432e+00,1.058999999999999941e+00,1.060503703703703948e+00
9.490000000000000213e+00,1.155999999999999917e+00,1.160219178082192215e+00
9.589999999999999858e+00,1.245999999999999996e+00,1.226728000000000041e+00
9.679999999999999716e+00,1.360000000000000098e+00,1.276739999999999764e+00
