wavelength_in_um,n,k
2.997139999999999874e-02,9.026410000000000267e-01,9.080799999999999983e-02
3.027109999999999870e-02,9.013600000000000501e-01,9.292400000000000659e-02
3.057380000000000167e-02,9.000700000000000367e-01,9.508800000000000585e-02
3.087950000000000070e-02,8.987760000000000193e-01,9.730700000000000460e-02
3.118819999999999926e-02,8.974800000000000555e-01,9.957100000000000672e-02
3.150010000000000310e-02,8.961810000000000054e-01,1.018850000000000033e-01
3.181509999999999894e-02,8.948789999999999800e-01,1.042440000000000033e-01
3.213320000000000065e-02,8.935739999999999794e-01,1.066560000000000008e-01
3.245449999999999724e-02,8.922719999999999541e-01,1.091260000000000008e-01
3.277900000000000258e-02,8.909780000000000477e-01,1.116469999999999962e-01
3.310670000000000279e-02,8.897019999999999929e-01,1.142360000000000042e-01
3.343779999999999669e-02,8.884649999999999492e-01,1.168779999999999958e-01
3.377209999999999934e-02,8.872970000000000024e-01,1.195670000000000066e-01
3.410980000000000262e-02,8.862139999999999462e-01,1.222089999999999982e-01
3.445089999999999958e-02,8.851740000000000164e-01,1.246929999999999983e-01
3.479539999999999716e-02,8.839820000000000455e-01,1.268090000000000050e-01
3.514330000000000231e-02,8.825110000000000454e-01,1.289549999999999863e-01
3.549469999999999709e-02,8.807850000000000401e-01,1.311430000000000096e-01
3.584960000000000230e-02,8.786779999999999591e-01,1.333650000000000113e-01
3.620799999999999713e-02,8.764809999999999546e-01,1.365530000000000077e-01
3.657010000000000122e-02,8.745560000000000000e-01,1.398999999999999966e-01
3.693579999999999780e-02,8.727869999999999795e-01,1.432130000000000070e-01
3.730510000000000076e-02,8.710740000000000149e-01,1.464940000000000131e-01
3.767809999999999909e-02,8.693629999999999969e-01,1.497419999999999862e-01
3.805479999999999974e-02,8.676099999999999923e-01,1.529580000000000106e-01
3.843540000000000151e-02,8.657759999999999900e-01,1.561420000000000030e-01
3.881969999999999865e-02,8.638160000000000283e-01,1.592949999999999922e-01
3.920780000000000098e-02,8.616759999999999975e-01,1.624160000000000048e-01
3.959990000000000038e-02,8.592819999999999903e-01,1.655069999999999875e-01
3.999579999999999802e-02,8.565150000000000263e-01,1.685669999999999946e-01
4.039580000000000254e-02,8.531379999999999519e-01,1.715959999999999985e-01
4.079970000000000124e-02,8.488900000000000334e-01,1.750680000000000014e-01
4.120759999999999701e-02,8.441229999999999567e-01,1.802539999999999976e-01
4.161970000000000253e-02,8.397499999999999964e-01,1.872560000000000058e-01
4.203579999999999817e-02,8.362199999999999633e-01,1.950250000000000039e-01
4.245609999999999662e-02,8.334859999999999491e-01,2.032589999999999952e-01
4.288070000000000076e-02,8.315139999999999754e-01,2.118400000000000005e-01
4.330939999999999790e-02,8.303319999999999590e-01,2.207459999999999978e-01
4.374249999999999666e-02,8.301060000000000105e-01,2.300500000000000045e-01
4.417990000000000111e-02,8.315460000000000074e-01,2.400849999999999929e-01
4.462159999999999738e-02,8.353629999999999667e-01,2.490930000000000089e-01
4.506779999999999814e-02,8.401680000000000259e-01,2.532639999999999891e-01
4.551840000000000053e-02,8.426320000000000476e-01,2.522940000000000182e-01
