wavelength_in_um,n,k
2.949380000000000057e-02,8.873140000000000471e-01,1.869999999999999996e-01
3.004949999999999982e-02,8.835260000000000336e-01,1.880000000000000004e-01
3.061569999999999916e-02,8.772790000000000310e-01,1.910000000000000031e-01
3.119250000000000148e-02,8.706669999999999687e-01,1.990000000000000102e-01
3.178020000000000150e-02,8.655819999999999625e-01,2.089999999999999913e-01
3.237899999999999806e-02,8.621739999999999959e-01,2.200000000000000011e-01
3.298899999999999749e-02,8.602910000000000279e-01,2.310000000000000109e-01
3.361059999999999742e-02,8.590910000000000490e-01,2.409999999999999920e-01
3.424390000000000073e-02,8.585070000000000201e-01,2.520000000000000018e-01
3.488909999999999928e-02,8.584969999999999546e-01,2.620000000000000107e-01
3.554639999999999883e-02,8.590360000000000218e-01,2.730000000000000204e-01
3.621619999999999701e-02,8.602349999999999719e-01,2.829999999999999738e-01
3.689850000000000074e-02,8.616489999999999982e-01,2.929999999999999827e-01
3.759370000000000073e-02,8.635070000000000245e-01,3.029999999999999916e-01
3.830209999999999865e-02,8.654070000000000373e-01,3.119999999999999996e-01
3.902370000000000144e-02,8.675150000000000361e-01,3.220000000000000084e-01
3.975900000000000267e-02,8.701029999999999598e-01,3.310000000000000164e-01
4.050809999999999828e-02,8.722509999999999986e-01,3.390000000000000235e-01
4.127129999999999688e-02,8.740930000000000089e-01,3.479999999999999760e-01
4.204890000000000017e-02,8.762630000000000141e-01,3.569999999999999840e-01
4.284120000000000289e-02,8.782750000000000279e-01,3.649999999999999911e-01
4.364830000000000099e-02,8.796399999999999775e-01,3.729999999999999982e-01
4.447070000000000189e-02,8.801290000000000502e-01,3.810000000000000053e-01
4.530859999999999749e-02,8.802750000000000297e-01,3.910000000000000142e-01
4.616230000000000333e-02,8.811839999999999673e-01,4.020000000000000240e-01
4.703210000000000029e-02,8.825629999999999864e-01,4.119999999999999774e-01
4.791820000000000107e-02,8.832510000000000083e-01,4.209999999999999853e-01
4.882100000000000328e-02,8.814929999999999710e-01,4.289999999999999925e-01
4.974089999999999762e-02,8.783490000000000464e-01,4.430000000000000049e-01
5.067809999999999676e-02,8.771139999999999493e-01,4.610000000000000209e-01
5.163290000000000241e-02,8.784119999999999706e-01,4.799999999999999822e-01
5.260569999999999830e-02,8.826540000000000497e-01,5.010010000000000296e-01
5.359690000000000287e-02,8.919489999999999919e-01,5.229989999999999917e-01
5.460670000000000107e-02,9.032559999999999478e-01,5.350000000000000311e-01
5.563560000000000033e-02,9.099000000000000421e-01,5.420000000000000373e-01
5.668379999999999946e-02,9.145259999999999501e-01,5.580000000000000515e-01
5.775179999999999897e-02,9.212900000000000533e-01,5.739999999999999547e-01
5.884000000000000341e-02,9.298119999999999719e-01,5.909999999999999698e-01
5.994859999999999772e-02,9.419929999999999692e-01,6.089999999999999858e-01
6.107810000000000322e-02,9.546890000000000098e-01,6.169999999999999929e-01
6.222889999999999672e-02,9.627599999999999492e-01,6.229999999999999982e-01
6.340139999999999665e-02,9.673310000000000519e-01,6.330000000000000071e-01
6.459589999999999776e-02,9.723479999999999901e-01,6.490010000000000501e-01
6.581299999999999650e-02,9.792269999999999586e-01,6.650000000000000355e-01
6.705300000000000149e-02,9.887350000000000305e-01,6.840009999999999701e-01
6.831629999999999647e-02,9.992400000000000171e-01,6.969999999999999529e-01
6.960349999999999870e-02,1.008544000000000107e+00,7.119999999999999662e-01
