wavelength_in_um,n,k
2.000000000000000111e-01,1.518999999999999906e+00,1.088999999999999968e+00
2.006499999999999950e-01,1.514000000000000012e+00,1.088000000000000078e+00
2.013000000000000067e-01,1.510000000000000009e+00,1.088000000000000078e+00
2.019499999999999906e-01,1.504999999999999893e+00,1.086999999999999966e+00
2.026100000000000123e-01,1.500999999999999890e+00,1.086999999999999966e+00
2.032799999999999885e-01,1.495999999999999996e+00,1.086999999999999966e+00
2.039499999999999924e-01,1.491000000000000103e+00,1.088000000000000078e+00
2.046199999999999963e-01,1.487000000000000099e+00,1.088000000000000078e+00
2.053000000000000103e-01,1.481999999999999984e+00,1.088999999999999968e+00
2.059799999999999964e-01,1.477000000000000091e+00,1.090000000000000080e+00
2.066699999999999926e-01,1.471999999999999975e+00,1.090999999999999970e+00
2.073599999999999888e-01,1.467999999999999972e+00,1.092000000000000082e+00
2.080500000000000127e-01,1.463000000000000078e+00,1.092999999999999972e+00
2.087499999999999911e-01,1.457999999999999963e+00,1.094999999999999973e+00
2.094600000000000073e-01,1.453999999999999959e+00,1.096999999999999975e+00
2.101699999999999957e-01,1.449000000000000066e+00,1.098999999999999977e+00
2.108800000000000119e-01,1.445000000000000062e+00,1.100999999999999979e+00
2.116000000000000103e-01,1.439999999999999947e+00,1.102999999999999980e+00
2.123299999999999910e-01,1.435999999999999943e+00,1.106000000000000094e+00
2.130599999999999994e-01,1.431000000000000050e+00,1.108000000000000096e+00
2.137900000000000078e-01,1.427000000000000046e+00,1.110999999999999988e+00
2.145299999999999985e-01,1.423000000000000043e+00,1.114000000000000101e+00
2.152799999999999991e-01,1.417999999999999927e+00,1.118000000000000105e+00
2.160299999999999998e-01,1.413999999999999924e+00,1.120999999999999996e+00
2.167800000000000005e-01,1.409999999999999920e+00,1.124000000000000110e+00
2.175400000000000111e-01,1.405999999999999917e+00,1.127999999999999892e+00
2.183100000000000041e-01,1.401999999999999913e+00,1.131999999999999895e+00
2.190799999999999970e-01,1.399000000000000021e+00,1.135999999999999899e+00
2.198599999999999999e-01,1.395000000000000018e+00,1.139999999999999902e+00
2.206400000000000028e-01,1.391000000000000014e+00,1.143999999999999906e+00
2.214299999999999879e-01,1.387999999999999901e+00,1.147999999999999909e+00
2.222200000000000009e-01,1.383999999999999897e+00,1.151999999999999913e+00
2.230199999999999960e-01,1.381000000000000005e+00,1.157000000000000028e+00
2.238300000000000012e-01,1.377999999999999892e+00,1.161000000000000032e+00
2.246400000000000063e-01,1.374000000000000110e+00,1.165999999999999925e+00
2.254500000000000115e-01,1.370999999999999996e+00,1.169999999999999929e+00
2.262800000000000089e-01,1.368000000000000105e+00,1.175000000000000044e+00
2.271100000000000063e-01,1.364999999999999991e+00,1.179999999999999938e+00
2.279400000000000037e-01,1.362000000000000099e+00,1.185000000000000053e+00
2.287800000000000111e-01,1.358999999999999986e+00,1.189999999999999947e+00
2.296300000000000008e-01,1.356000000000000094e+00,1.195000000000000062e+00
2.304799999999999904e-01,1.354000000000000092e+00,1.199999999999999956e+00
2.313399999999999901e-01,1.350999999999999979e+00,1.205000000000000071e+00
2.322099999999999997e-01,1.348000000000000087e+00,1.209999999999999964e+00
2.330800000000000094e-01,1.344999999999999973e+00,1.215000000000000080e+00
2.339600000000000013e-01,1.342999999999999972e+00,1.221000000000000085e+00
2.348500000000000032e-01,1.340000000000000080e+00,1.225999999999999979e+00
2.357400000000000051e-01,1.336999999999999966e+00,1.231000000000000094e+00
2.366399999999999892e-01,1.334000000000000075e+00,1.237000000000000099e+00
2.375500000000000111e-01,1.332000000000000073e+00,1.243000000000000105e+00
2.384600000000000053e-01,1.328999999999999959e+00,1.247999999999999998e+00
2.393800000000000094e-01,1.326000000000000068e+00,1.254000000000000004e+00
2.403099999999999958e-01,1.324000000000000066e+00,1.260000000000000009e+00
2.412499999999999922e-01,1.320999999999999952e+00,1.266000000000000014e+00
2.421899999999999886e-01,1.318000000000000060e+00,1.272999999999999909e+00
2.431399999999999950e-01,1.314999999999999947e+00,1.278999999999999915e+00
2.440900000000000014e-01,1.312000000000000055e+00,1.286000000000000032e+00
2.450600000000000001e-01,1.308999999999999941e+00,1.292000000000000037e+00
2.460299999999999987e-01,1.306999999999999940e+00,1.298999999999999932e+00
2.470100000000000073e-01,1.304000000000000048e+00,1.306000000000000050e+00
2.479999999999999982e-01,1.300999999999999934e+00,1.312999999999999945e+00
2.489999999999999991e-01,1.298000000000000043e+00,1.320999999999999952e+00
2.500000000000000000e-01,1.294999999999999929e+00,1.328999999999999959e+00
2.510100000000000109e-01,1.292000000000000037e+00,1.336999999999999966e+00
2.520299999999999763e-01,1.288999999999999924e+00,1.344999999999999973e+00
2.530600000000000072e-01,1.286000000000000032e+00,1.352999999999999980e+00
2.540999999999999925e-01,1.282999999999999918e+00,1.362000000000000099e+00
2.551399999999999779e-01,1.280999999999999917e+00,1.370999999999999996e+00
2.561999999999999833e-01,1.278000000000000025e+00,1.379999999999999893e+00
2.572599999999999887e-01,1.274999999999999911e+00,1.389000000000000012e+00
2.583300000000000041e-01,1.272999999999999909e+00,1.399000000000000021e+00
2.594099999999999739e-01,1.270000000000000018e+00,1.409000000000000030e+00
2.605000000000000093e-01,1.268000000000000016e+00,1.419999999999999929e+00
2.615999999999999992e-01,1.266000000000000014e+00,1.429999999999999938e+00
2.627099999999999991e-01,1.264000000000000012e+00,1.441000000000000059e+00
2.638300000000000090e-01,1.262000000000000011e+00,1.453000000000000069e+00
2.649599999999999733e-01,1.260999999999999899e+00,1.463999999999999968e+00
2.660899999999999932e-01,1.260000000000000009e+00,1.475999999999999979e+00
2.672399999999999776e-01,1.258999999999999897e+00,1.487999999999999989e+00
2.684000000000000274e-01,1.258000000000000007e+00,1.500000000000000000e+00
2.695699999999999763e-01,1.256999999999999895e+00,1.512999999999999901e+00
2.707399999999999807e-01,1.256999999999999895e+00,1.526000000000000023e+00
2.719300000000000050e-01,1.256999999999999895e+00,1.538999999999999924e+00
2.731299999999999839e-01,1.256999999999999895e+00,1.552000000000000046e+00
2.743399999999999728e-01,1.258000000000000007e+00,1.566000000000000059e+00
2.755600000000000271e-01,1.258999999999999897e+00,1.578999999999999959e+00
2.767899999999999805e-01,1.260999999999999899e+00,1.592999999999999972e+00
2.780299999999999994e-01,1.262000000000000011e+00,1.606999999999999984e+00
2.792799999999999727e-01,1.264000000000000012e+00,1.622000000000000108e+00
2.805400000000000116e-01,1.266999999999999904e+00,1.635999999999999899e+00
2.818200000000000149e-01,1.270000000000000018e+00,1.649999999999999911e+00
2.831099999999999728e-01,1.272999999999999909e+00,1.665000000000000036e+00
2.843999999999999861e-01,1.276999999999999913e+00,1.679000000000000048e+00
2.857100000000000195e-01,1.280999999999999917e+00,1.693999999999999950e+00
2.870400000000000174e-01,1.284999999999999920e+00,1.707999999999999963e+00
2.883700000000000152e-01,1.290000000000000036e+00,1.723000000000000087e+00
