wavelength_in_um,n,k
2.066399999999999904e-01,1.789090000000000069e+00,1.295150000000000023e+00
2.069900000000000073e-01,1.793339999999999934e+00,1.297509999999999941e+00
2.073299999999999865e-01,1.797619999999999996e+00,1.299870000000000081e+00
2.076800000000000035e-01,1.801940000000000097e+00,1.302229999999999999e+00
2.080299999999999927e-01,1.806289999999999951e+00,1.304580000000000073e+00
2.083800000000000097e-01,1.810670000000000002e+00,1.306920000000000082e+00
2.087299999999999989e-01,1.815080000000000027e+00,1.309260000000000090e+00
2.090799999999999881e-01,1.819520000000000026e+00,1.311590000000000034e+00
2.094300000000000050e-01,1.823990000000000000e+00,1.313909999999999911e+00
2.097900000000000043e-01,1.828500000000000014e+00,1.316230000000000011e+00
2.101399999999999935e-01,1.833040000000000003e+00,1.318540000000000045e+00
2.104999999999999927e-01,1.837609999999999966e+00,1.320850000000000080e+00
2.108599999999999919e-01,1.842219999999999969e+00,1.323139999999999983e+00
2.112199999999999911e-01,1.846859999999999946e+00,1.325430000000000108e+00
2.115799999999999903e-01,1.851539999999999964e+00,1.327709999999999946e+00
2.119399999999999895e-01,1.856249999999999956e+00,1.329979999999999940e+00
2.122999999999999887e-01,1.860989999999999922e+00,1.332249999999999934e+00
2.126699999999999979e-01,1.865769999999999929e+00,1.334500000000000020e+00
2.130299999999999971e-01,1.870589999999999975e+00,1.336750000000000105e+00
2.134000000000000064e-01,1.875439999999999996e+00,1.338980000000000059e+00
2.137699999999999878e-01,1.880330000000000057e+00,1.341210000000000013e+00
2.141399999999999970e-01,1.885250000000000092e+00,1.343429999999999902e+00
2.145100000000000062e-01,1.890209999999999946e+00,1.345630000000000104e+00
2.148799999999999877e-01,1.895210000000000061e+00,1.347830000000000084e+00
2.152499999999999969e-01,1.900239999999999929e+00,1.350019999999999998e+00
2.156200000000000061e-01,1.905310000000000059e+00,1.352190000000000003e+00
2.159999999999999976e-01,1.910420000000000007e+00,1.354360000000000008e+00
2.163799999999999890e-01,1.915569999999999995e+00,1.356510000000000105e+00
2.167600000000000082e-01,1.920749999999999957e+00,1.358649999999999913e+00
2.171399999999999997e-01,1.925980000000000025e+00,1.360780000000000101e+00
2.175199999999999911e-01,1.931240000000000068e+00,1.362889999999999935e+00
2.179000000000000103e-01,1.936549999999999994e+00,1.364989999999999926e+00
2.182800000000000018e-01,1.941889999999999894e+00,1.367080000000000073e+00
2.186700000000000033e-01,1.947279999999999900e+00,1.369159999999999933e+00
2.190499999999999947e-01,1.952700000000000102e+00,1.371220000000000105e+00
2.194399999999999962e-01,1.958169999999999966e+00,1.373269999999999991e+00
2.198299999999999976e-01,1.963670000000000027e+00,1.375299999999999967e+00
2.202199999999999991e-01,1.969219999999999970e+00,1.377310000000000034e+00
2.206100000000000005e-01,1.974809999999999954e+00,1.379310000000000036e+00
2.210100000000000120e-01,1.980450000000000044e+00,1.381299999999999972e+00
2.214000000000000135e-01,1.986120000000000108e+00,1.383270000000000000e+00
2.217999999999999972e-01,1.991840000000000055e+00,1.385219999999999896e+00
2.221899999999999986e-01,1.997600000000000042e+00,1.387150000000000105e+00
2.225900000000000101e-01,2.003410000000000135e+00,1.389070000000000027e+00
2.229899999999999938e-01,2.009259999999999824e+00,1.390959999999999974e+00
2.233900000000000052e-01,2.015159999999999840e+00,1.392840000000000078e+00
2.237999999999999989e-01,2.021100000000000119e+00,1.394700000000000051e+00
2.242000000000000104e-01,2.027089999999999836e+00,1.396539999999999893e+00
2.246100000000000041e-01,2.033119999999999816e+00,1.398360000000000047e+00
2.250199999999999978e-01,2.039200000000000124e+00,1.400150000000000006e+00
2.254299999999999915e-01,2.045319999999999805e+00,1.401929999999999898e+00
2.258400000000000130e-01,2.051499999999999879e+00,1.403680000000000039e+00
2.262500000000000067e-01,2.057720000000000216e+00,1.405410000000000048e+00
2.266600000000000004e-01,2.063979999999999926e+00,1.407119999999999926e+00
2.270800000000000041e-01,2.070300000000000029e+00,1.408809999999999896e+00
2.274899999999999978e-01,2.076659999999999950e+00,1.410460000000000047e+00
2.279100000000000015e-01,2.083079999999999821e+00,1.412099999999999911e+00
2.283300000000000052e-01,2.089539999999999953e+00,1.413710000000000022e+00
2.287500000000000089e-01,2.096049999999999969e+00,1.415289999999999937e+00
2.291799999999999948e-01,2.102619999999999933e+00,1.416840000000000099e+00
2.295999999999999985e-01,2.109230000000000160e+00,1.418369999999999909e+00
2.300300000000000122e-01,2.115899999999999892e+00,1.419869999999999965e+00
2.304499999999999882e-01,2.122609999999999886e+00,1.421329999999999982e+00
2.308800000000000019e-01,2.129379999999999828e+00,1.422770000000000090e+00
2.313099999999999878e-01,2.136200000000000099e+00,1.424180000000000001e+00
2.317500000000000115e-01,2.143079999999999874e+00,1.425559999999999938e+00
2.321799999999999975e-01,2.149999999999999911e+00,1.426900000000000057e+00
2.326199999999999934e-01,2.156979999999999897e+00,1.428209999999999980e+00
2.330500000000000071e-01,2.164019999999999833e+00,1.429489999999999927e+00
2.334900000000000031e-01,2.171110000000000095e+00,1.430730000000000057e+00
2.339299999999999990e-01,2.178249999999999797e+00,1.431929999999999925e+00
2.343699999999999950e-01,2.185449999999999893e+00,1.433100000000000041e+00
2.348200000000000010e-01,2.192709999999999937e+00,1.434229999999999894e+00
2.352599999999999969e-01,2.200019999999999865e+00,1.435319999999999929e+00
2.357100000000000029e-01,2.207380000000000120e+00,1.436369999999999925e+00
2.361600000000000088e-01,2.214809999999999945e+00,1.437389999999999946e+00
2.366099999999999870e-01,2.222290000000000099e+00,1.438360000000000083e+00
2.370599999999999929e-01,2.229830000000000201e+00,1.439279999999999893e+00
2.375200000000000089e-01,2.237420000000000186e+00,1.440169999999999950e+00
2.379699999999999871e-01,2.245080000000000187e+00,1.441000000000000059e+00
2.384300000000000030e-01,2.252790000000000070e+00,1.441799999999999971e+00
2.388899999999999912e-01,2.260569999999999968e+00,1.442539999999999933e+00
2.393500000000000072e-01,2.268400000000000194e+00,1.443240000000000078e+00
2.398099999999999954e-01,2.276289999999999925e+00,1.443889999999999896e+00
2.402799999999999936e-01,2.284240000000000048e+00,1.444479999999999986e+00
2.407499999999999918e-01,2.292260000000000186e+00,1.445030000000000037e+00
2.412100000000000077e-01,2.300330000000000208e+00,1.445519999999999916e+00
2.416800000000000059e-01,2.308460000000000178e+00,1.445950000000000069e+00
2.421599999999999864e-01,2.316660000000000164e+00,1.446329999999999893e+00
2.426300000000000123e-01,2.324920000000000098e+00,1.446660000000000057e+00
2.431099999999999928e-01,2.333239999999999981e+00,1.446919999999999984e+00
2.435799999999999910e-01,2.341619999999999813e+00,1.447119999999999962e+00
2.440599999999999992e-01,2.350060000000000038e+00,1.447259999999999991e+00
2.445400000000000074e-01,2.358569999999999833e+00,1.447340000000000071e+00
