wavelength_in_um,n,k
2.500000000000000000e-01,2.173454833894000071e+00,0.000000000000000000e+00
2.592999999999999750e-01,2.147265026980300195e+00,0.000000000000000000e+00
2.688999999999999724e-01,2.124143009232899892e+00,0.000000000000000000e+00
2.788999999999999813e-01,2.103450435253400030e+00,0.000000000000000000e+00
2.893000000000000016e-01,2.084898144665300102e+00,0.000000000000000000e+00
2.999999999999999889e-01,2.068378786038899797e+00,0.000000000000000000e+00
3.111999999999999766e-01,2.053367824276199904e+00,0.000000000000000000e+00
3.226999999999999869e-01,2.039949135689299808e+00,0.000000000000000000e+00
3.346999999999999975e-01,2.027724474365999896e+00,0.000000000000000000e+00
3.472000000000000086e-01,2.016589223810400178e+00,0.000000000000000000e+00
3.600999999999999757e-01,2.006518908745900109e+00,0.000000000000000000e+00
3.734000000000000097e-01,1.997396705442699982e+00,0.000000000000000000e+00
3.872999999999999776e-01,1.989006803678899926e+00,0.000000000000000000e+00
4.017000000000000015e-01,1.981348998517499904e+00,0.000000000000000000e+00
4.166000000000000258e-01,1.974356077663300013e+00,0.000000000000000000e+00
4.320999999999999841e-01,1.967927657176399947e+00,0.000000000000000000e+00
4.481999999999999873e-01,1.962021211536399967e+00,0.000000000000000000e+00
4.647999999999999909e-01,1.956626567648400039e+00,0.000000000000000000e+00
4.820999999999999730e-01,1.951640438059699889e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.947060905647699958e+00,0.000000000000000000e+00
5.185999999999999499e-01,1.942832478980299982e+00,0.000000000000000000e+00
5.377999999999999448e-01,1.938949631759500081e+00,0.000000000000000000e+00
5.577999999999999625e-01,1.935348207703400103e+00,0.000000000000000000e+00
5.785000000000000142e-01,1.932026621799000088e+00,0.000000000000000000e+00
5.999999999999999778e-01,1.928949441560600109e+00,0.000000000000000000e+00
6.222999999999999643e-01,1.926100291977699941e+00,0.000000000000000000e+00
6.454999999999999627e-01,1.923452275365300057e+00,0.000000000000000000e+00
6.693999999999999950e-01,1.921012475696799893e+00,0.000000000000000000e+00
6.943000000000000282e-01,1.918736527484200094e+00,0.000000000000000000e+00
7.200999999999999623e-01,1.916623261521499977e+00,0.000000000000000000e+00
7.469000000000000083e-01,1.914653974873600006e+00,0.000000000000000000e+00
7.745999999999999552e-01,1.912825651849999975e+00,0.000000000000000000e+00
8.034000000000000030e-01,1.911115854973000072e+00,0.000000000000000000e+00
