wavelength_in_um,n,k
2.214000000000000135e-01,3.078899999999999970e+00,1.683999999999999941e+00
2.217500000000000027e-01,3.089300000000000157e+00,1.664900000000000047e+00
2.220999999999999919e-01,3.099000000000000199e+00,1.645699999999999941e+00
2.224500000000000088e-01,3.108200000000000074e+00,1.626500000000000057e+00
2.227999999999999980e-01,3.116800000000000015e+00,1.607199999999999962e+00
2.231599999999999973e-01,3.124699999999999811e+00,1.588000000000000078e+00
2.235099999999999865e-01,3.132099999999999884e+00,1.568799999999999972e+00
2.238700000000000134e-01,3.138999999999999790e+00,1.549600000000000088e+00
2.242200000000000026e-01,3.145300000000000207e+00,1.530499999999999972e+00
2.245800000000000018e-01,3.150999999999999801e+00,1.511500000000000066e+00
2.249400000000000011e-01,3.156299999999999883e+00,1.492599999999999927e+00
2.253000000000000003e-01,3.161000000000000032e+00,1.473899999999999988e+00
2.256599999999999995e-01,3.165200000000000014e+00,1.455300000000000038e+00
2.260300000000000087e-01,3.169000000000000039e+00,1.436900000000000066e+00
2.263900000000000079e-01,3.172200000000000131e+00,1.418600000000000083e+00
2.267599999999999894e-01,3.175100000000000033e+00,1.400600000000000067e+00
2.271199999999999886e-01,3.177500000000000213e+00,1.382700000000000040e+00
2.274899999999999978e-01,3.179499999999999993e+00,1.365099999999999980e+00
2.278600000000000070e-01,3.181099999999999817e+00,1.347599999999999909e+00
2.282299999999999884e-01,3.182399999999999896e+00,1.330400000000000027e+00
2.285999999999999976e-01,3.183199999999999807e+00,1.313499999999999890e+00
2.289700000000000069e-01,3.183800000000000185e+00,1.296799999999999953e+00
2.293499999999999983e-01,3.184000000000000163e+00,1.280299999999999994e+00
2.297200000000000075e-01,3.183899999999999952e+00,1.264100000000000001e+00
2.300999999999999990e-01,3.183499999999999996e+00,1.248199999999999976e+00
2.304700000000000082e-01,3.182799999999999851e+00,1.232499999999999929e+00
2.308499999999999996e-01,3.181900000000000173e+00,1.217100000000000071e+00
2.312299999999999911e-01,3.180699999999999861e+00,1.201999999999999957e+00
2.316100000000000103e-01,3.179199999999999804e+00,1.187100000000000044e+00
2.319900000000000018e-01,3.177599999999999980e+00,1.172500000000000098e+00
2.323800000000000032e-01,3.175699999999999967e+00,1.158199999999999896e+00
2.327599999999999947e-01,3.173599999999999977e+00,1.144099999999999895e+00
2.331499999999999961e-01,3.171400000000000219e+00,1.130300000000000082e+00
2.335399999999999976e-01,3.168899999999999828e+00,1.116800000000000015e+00
