wavelength_in_um,n,k
5.000000000000000000e-01,2.693000000000000060e+00,1.209999999999999935e-05
5.200000000000000178e-01,2.649999999999999911e+00,4.300000000000000335e-06
5.400000000000000355e-01,2.620000000000000107e+00,1.500000000000000038e-06
5.600000000000000533e-01,2.596000000000000085e+00,7.999999999999999638e-07
5.799999999999999600e-01,2.577999999999999847e+00,5.999999999999999728e-07
5.999999999999999778e-01,2.560000000000000053e+00,4.999999999999999774e-07
6.199999999999999956e-01,2.548000000000000043e+00,3.999999999999999819e-07
6.400000000000000133e-01,2.536999999999999922e+00,3.999999999999999819e-07
6.600000000000000311e-01,2.528000000000000025e+00,3.999999999999999819e-07
6.800000000000000488e-01,2.520999999999999908e+00,2.999999999999999864e-07
6.999999999999999556e-01,2.516000000000000014e+00,2.999999999999999864e-07
7.199999999999999734e-01,2.509999999999999787e+00,2.999999999999999864e-07
7.399999999999999911e-01,2.504000000000000004e+00,2.999999999999999864e-07
7.600000000000000089e-01,2.496999999999999886e+00,2.999999999999999864e-07
7.800000000000000266e-01,2.488999999999999879e+00,2.999999999999999864e-07
8.000000000000000444e-01,2.482000000000000206e+00,2.999999999999999864e-07
8.199999999999999512e-01,2.475999999999999979e+00,1.999999999999999909e-07
8.399999999999999689e-01,2.470000000000000195e+00,1.999999999999999909e-07
8.599999999999999867e-01,2.467999999999999972e+00,1.999999999999999909e-07
8.800000000000000044e-01,2.466000000000000192e+00,1.999999999999999909e-07
9.000000000000000222e-01,2.463999999999999968e+00,1.999999999999999909e-07
9.200000000000000400e-01,2.463999999999999968e+00,1.999999999999999909e-07
9.399999999999999467e-01,2.463999999999999968e+00,1.999999999999999909e-07
9.599999999999999645e-01,2.462000000000000188e+00,1.999999999999999909e-07
9.799999999999999822e-01,2.460999999999999854e+00,1.999999999999999909e-07
1.000000000000000000e+00,2.459999999999999964e+00,1.999999999999999909e-07
1.020000000000000018e+00,2.459000000000000075e+00,9.999999999999999547e-08
1.040000000000000036e+00,2.459000000000000075e+00,9.999999999999999547e-08
1.060000000000000053e+00,2.458000000000000185e+00,9.999999999999999547e-08
1.080000000000000071e+00,2.458000000000000185e+00,9.999999999999999547e-08
1.100000000000000089e+00,2.458000000000000185e+00,9.999999999999999547e-08
1.120000000000000107e+00,2.456999999999999851e+00,9.999999999999999547e-08
1.139999999999999902e+00,2.455999999999999961e+00,9.999999999999999547e-08
1.159999999999999920e+00,2.455999999999999961e+00,9.999999999999999547e-08
1.179999999999999938e+00,2.454000000000000181e+00,9.999999999999999547e-08
1.199999999999999956e+00,2.454000000000000181e+00,9.999999999999999547e-08
1.219999999999999973e+00,2.452999999999999847e+00,9.999999999999999547e-08
1.239999999999999991e+00,2.451999999999999957e+00,9.999999999999999547e-08
1.260000000000000009e+00,2.451000000000000068e+00,9.999999999999999547e-08
1.280000000000000027e+00,2.450000000000000178e+00,9.999999999999999547e-08
1.300000000000000044e+00,2.448999999999999844e+00,0.000000000000000000e+00
1.320000000000000062e+00,2.448999999999999844e+00,0.000000000000000000e+00
1.340000000000000080e+00,2.447999999999999954e+00,0.000000000000000000e+00
1.360000000000000098e+00,2.447999999999999954e+00,0.000000000000000000e+00
1.379999999999999893e+00,2.447000000000000064e+00,0.000000000000000000e+00
1.399999999999999911e+00,2.447000000000000064e+00,0.000000000000000000e+00
1.419999999999999929e+00,2.446000000000000174e+00,0.000000000000000000e+00
1.439999999999999947e+00,2.444999999999999840e+00,0.000000000000000000e+00
1.459999999999999964e+00,2.444999999999999840e+00,0.000000000000000000e+00
