wavelength_in_um,n,k
3.609999999999999876e-01,2.253618837244600215e+00,0.000000000000000000e+00
4.087000000000000077e-01,2.217518084633700148e+00,0.000000000000000000e+00
4.565000000000000169e-01,2.193934873894499926e+00,0.000000000000000000e+00
5.041999999999999815e-01,2.177593165561800159e+00,0.000000000000000000e+00
5.520000000000000462e-01,2.165677246089400043e+00,0.000000000000000000e+00
5.997000000000000108e-01,2.156703977451800203e+00,0.000000000000000000e+00
6.473999999999999755e-01,2.149726947852800052e+00,0.000000000000000000e+00
6.952000000000000401e-01,2.144155168437300141e+00,0.000000000000000000e+00
7.429000000000000048e-01,2.139628174949399941e+00,0.000000000000000000e+00
7.906999999999999584e-01,2.135863998268300090e+00,0.000000000000000000e+00
8.384000000000000341e-01,2.132693874857699790e+00,0.000000000000000000e+00
8.860999999999999988e-01,2.129976353403200129e+00,0.000000000000000000e+00
9.338999999999999524e-01,2.127608881079200209e+00,0.000000000000000000e+00
9.816000000000000281e-01,2.125527727343500040e+00,0.000000000000000000e+00
1.028999999999999915e+00,2.123682569130600051e+00,0.000000000000000000e+00
1.076999999999999957e+00,2.121996756606200130e+00,0.000000000000000000e+00
1.125000000000000000e+00,2.120460197282799886e+00,0.000000000000000000e+00
1.173000000000000043e+00,2.119045324443900036e+00,0.000000000000000000e+00
1.219999999999999973e+00,2.117756558473200101e+00,0.000000000000000000e+00
1.268000000000000016e+00,2.116521452298900208e+00,0.000000000000000000e+00
1.316000000000000059e+00,2.115353737268100165e+00,0.000000000000000000e+00
1.364000000000000101e+00,2.114241343985900023e+00,0.000000000000000000e+00
1.411000000000000032e+00,2.113196087529200184e+00,0.000000000000000000e+00
1.459000000000000075e+00,2.112165253771599804e+00,0.000000000000000000e+00
1.506999999999999895e+00,2.111164463337200203e+00,0.000000000000000000e+00
1.554999999999999938e+00,2.110187742087899831e+00,0.000000000000000000e+00
1.602000000000000091e+00,2.109249795166099783e+00,0.000000000000000000e+00
1.649999999999999911e+00,2.108306427531899896e+00,0.000000000000000000e+00
1.697999999999999954e+00,2.107374023266700203e+00,0.000000000000000000e+00
1.745000000000000107e+00,2.106468542471799932e+00,0.000000000000000000e+00
1.792999999999999927e+00,2.105548680810100048e+00,0.000000000000000000e+00
1.840999999999999970e+00,2.104631309002800155e+00,0.000000000000000000e+00
1.889000000000000012e+00,2.103714267566399787e+00,0.000000000000000000e+00
1.935999999999999943e+00,2.102814822301999786e+00,0.000000000000000000e+00
1.983999999999999986e+00,2.101893048285599974e+00,0.000000000000000000e+00
2.032000000000000028e+00,2.100966569307900045e+00,0.000000000000000000e+00
2.080000000000000071e+00,2.100034058500900080e+00,0.000000000000000000e+00
2.126999999999999780e+00,2.099113989356899967e+00,0.000000000000000000e+00
2.174999999999999822e+00,2.098166164876800188e+00,0.000000000000000000e+00
2.222999999999999865e+00,2.097209124334499908e+00,0.000000000000000000e+00
2.270999999999999908e+00,2.096242003186299829e+00,0.000000000000000000e+00
2.318000000000000060e+00,2.095284508720899996e+00,0.000000000000000000e+00
2.366000000000000103e+00,2.094295196364500011e+00,0.000000000000000000e+00
2.414000000000000146e+00,2.093293672337300126e+00,0.000000000000000000e+00
2.462000000000000188e+00,2.092279341555599803e+00,0.000000000000000000e+00
2.508999999999999897e+00,2.091273207409200197e+00,0.000000000000000000e+00
2.556999999999999940e+00,2.090231960698599956e+00,0.000000000000000000e+00
2.604999999999999982e+00,2.089176401789300197e+00,0.000000000000000000e+00
2.653000000000000025e+00,2.088106098660300169e+00,0.000000000000000000e+00
2.700000000000000178e+00,2.087043419955899815e+00,0.000000000000000000e+00
2.748000000000000220e+00,2.085942776354199779e+00,0.000000000000000000e+00
2.795999999999999819e+00,2.084826267132399824e+00,0.000000000000000000e+00
2.842999999999999972e+00,2.083717327068200120e+00,0.000000000000000000e+00
2.891000000000000014e+00,2.082568460822499912e+00,0.000000000000000000e+00
